,section,st_pos,mid_pos,date
0,1,0,400.5,0
1,2,267,3862.5,358
2,3,2664,23650.5,40
3,4,16655,30627.5,0
4,5,25970,57839.0,402
5,6,47216,54756.5,288
6,7,52243,61619.5,295
7,8,58494,62341.5,296
8,9,61059,74895.0,298
9,10,70283,71198.0,80
10,11,70893,96112.5,333
11,12,87706,94832.5,303
12,13,92457,109579.5,341
13,14,103872,134017.5,358
14,15,123969,139081.5,359
15,16,134044,136967.5,360
16,17,135993,139324.5,361
17,18,138214,141578.5,362
18,19,140457,155197.5,361
19,20,150284,163479.5,363
20,21,159081,187746.0,264
21,22,178191,299247.0,86
22,23,258895,278815.0,365
23,24,272175,292711.5,344
24,25,285866,298418.0,369
25,26,294234,295480.5,72
26,27,295065,303255.0,3
27,28,300525,300777.0,370
28,29,300693,301039.5,371
29,30,300924,306595.5,73
30,31,304705,305299.0,378
31,32,305101,311201.5,80
32,33,309168,314295.0,381
33,34,312586,317479.0,382
34,35,315848,322065.5,383
35,36,319993,324995.5,384
36,37,323328,331453.5,385
37,38,328745,343689.5,386
38,39,338708,345728.0,375
39,40,343388,358008.5,387
40,41,353135,358727.0,388
41,42,356863,363313.0,388
42,43,361163,384963.5,390
43,44,377030,384776.0,391
44,45,382194,383157.0,391
45,46,382836,388285.5,392
46,47,386469,393924.0,394
47,48,391439,404142.5,395
48,49,399908,415544.0,396
49,50,410332,413318.5,397
50,51,412323,420277.5,398
51,52,417626,424209.5,399
52,53,422015,426375.5,400
53,54,424922,432741.5,401
54,55,430135,435481.0,402
55,56,433699,446500.0,403
56,57,442233,452070.0,404
57,58,448791,459315.0,405
58,59,455807,456638.0,406
59,60,456361,457517.5,408
60,61,457132,458528.5,409
61,62,458063,474627.5,410
62,63,469106,491841.5,95
63,64,484263,563634.0,415
64,65,537177,537573.0,416
65,66,537441,537946.5,417
66,67,537778,539284.0,418
67,68,538782,540834.0,420
68,69,540150,541875.0,421
69,70,541300,542432.5,422
70,71,542055,542389.5,423
71,72,542278,542771.5,424
72,73,542607,543202.5,425
73,74,543004,543322.0,426
74,75,543216,544956.0,427
75,76,544376,547128.5,420
76,77,546211,546859.0,428
77,78,546643,548123.5,429
78,79,547630,547706.5,30
79,80,547681,547798.0,431
80,81,547759,549106.0,432
81,82,548657,549477.5,433
82,83,549204,549757.5,434
83,84,549573,549855.0,435
84,85,549761,555977.0,436
85,86,553905,555028.5,437
86,87,554654,554862.5,438
87,88,554793,567994.5,439
88,89,563594,578109.5,440
89,90,573271,579905.5,441
90,91,577694,581385.5,442
91,92,580155,598126.5,443
92,93,592136,598055.0,444
93,94,596082,604393.5,446
94,95,601623,604428.0,447
95,96,603493,608686.0,448
96,97,606955,609005.5,449
97,98,608322,652054.5,450
98,99,637477,642413.5,451
99,100,640768,646241.5,452
100,101,644417,649269.5,453
101,102,647652,648762.0,454
102,103,648392,654164.0,0
103,104,652240,654361.0,455
104,105,653654,655301.0,456
105,106,654752,656366.0,457
106,107,655828,657067.0,458
107,108,656654,660417.5,459
108,109,659163,663847.5,460
109,110,662286,712333.5,461
110,111,695651,701648.0,462
111,112,699649,700565.5,463
112,113,700260,704544.0,464
113,114,703116,706483.5,465
114,115,705361,711019.0,466
115,116,709133,710912.0,467
116,117,710319,711940.5,468
117,118,711400,716953.0,469
118,119,715102,716009.5,470
119,120,715707,717010.5,472
120,121,716576,717576.5,477
121,122,717243,718752.0,478
122,123,718249,721021.0,479
123,124,720097,721922.5,480
124,125,721314,721378.5,481
125,126,721357,721937.5,482
126,127,721744,722264.5,483
127,128,722091,722961.0,485
128,129,722671,723857.5,486
129,130,723462,737932.5,487
130,131,733109,739928.0,468
131,132,737655,746706.0,488
132,133,743689,744352.0,489
133,134,744131,746337.5,490
134,135,745602,747619.5,491
135,136,746947,750064.0,492
136,137,749025,749913.0,493
137,138,749617,750929.5,494
138,139,750492,753720.0,495
139,140,752644,753848.5,490
140,141,753447,755602.5,496
141,142,754884,755388.0,497
142,143,755220,756984.0,498
143,144,756396,756718.5,499
144,145,756611,757643.0,500
145,146,757299,765325.5,501
146,147,762650,767465.0,502
147,148,765860,767639.0,503
148,149,767046,770332.5,504
149,150,769237,771220.0,505
150,151,770559,774085.5,506
151,152,772910,773550.5,507
152,153,773337,777513.0,509
153,154,776121,776184.0,510
154,155,776163,777051.0,511
155,156,776755,780589.0,512
156,157,779311,818056.0,515
157,158,805141,847279.0,516
158,159,833233,851464.0,517
159,160,845387,850694.0,518
160,161,848925,863229.0,519
161,162,858461,861009.5,520
162,163,860160,862257.0,521
163,164,861558,867744.0,522
164,165,865682,871907.0,523
165,166,869832,882709.5,524
166,167,878417,889419.5,7
167,168,885752,886671.5,525
168,169,886365,895320.0,526
169,170,892335,893629.5,527
170,171,893198,901457.0,528
171,172,898704,906715.5,529
172,173,904045,904904.5,530
173,174,904618,915445.0,531
174,175,911836,916336.0,532
175,176,914836,923516.5,533
176,177,920623,923303.5,534
177,178,922410,924298.5,535
178,179,923669,925404.5,536
179,180,924826,925259.5,537
180,181,925115,925539.5,538
181,182,925398,926200.5,539
182,183,925933,926237.5,540
183,184,926136,927093.0,541
184,185,926774,933998.0,542
185,186,931590,935325.0,543
186,187,934080,942651.0,544
187,188,939794,956195.0,27
188,189,950728,950924.5,545
189,190,950859,952113.0,546
190,191,951695,952268.0,547
191,192,952077,959178.0,548
192,193,956811,960711.0,549
193,194,959411,976347.5,44
194,195,970702,977737.0,550
195,196,975392,975560.0,551
196,197,975504,979815.0,552
197,198,978378,982083.0,553
198,199,980848,983198.5,554
199,200,982415,985604.0,555
200,201,984541,988603.0,46
201,202,987249,1003075.5,556
202,203,997800,998793.0,507
203,204,998462,1011516.5,558
204,205,1007165,1032174.5,559
205,206,1023838,1026647.5,560
206,207,1025711,1025919.5,561
207,208,1025850,1037245.5,562
208,209,1033447,1035104.5,563
209,210,1034552,1080099.5,564
210,211,1064917,1072013.5,565
211,212,1069648,1076804.5,566
212,213,1074419,1094334.5,567
213,214,1087696,1107053.5,0
214,215,1100601,1104493.5,0
215,216,1103196,1107589.5,569
216,217,1106125,1106558.5,0
