,Text,id,ch_start_tar,ch_end_tar,source_book_ms,book_count,cluster
0,0845Maqrizi.ImtacAsmac,Masaha001864Vols,1668,1842,16,1,257698165659
1,0845Maqrizi.ImtacAsmac,Masaha001864Vols,2079,2357,16,1,292058121377
2,0736IbnDawadari.KanzDurar,Sham19Y0018147,2918,3497,1352,1,85899514690
3,0630IbnAthirCizzDin.Kamil,JK000911,3385,3627,1105,1,25770072311
4,0736IbnDawadari.KanzDurar,Sham19Y0018147,3475,3917,1353,1,326417852719
5,0736IbnDawadari.KanzDurar,Sham19Y0018147,3984,4512,1353,1,309237839492
6,0236AbuCabdAllahZubayri.NasabQuraysh,JK009223,5630,6290,39,1,240518284905
7,0845Maqrizi.ImtacAsmac,Masaha001864Vols,7371,7826,1400,1,42949804497
8,0456IbnHazm.JamharatAnsab,Shamela0009793,8989,9663,51,1,17179947218
9,0845Maqrizi.Muqaffa,Sham19Y0145334,17106,17414,1919,1,197568584222
10,0736IbnDawadari.KanzDurar,Sham19Y0018147,17235,17383,1356,1,137439132055
11,0736IbnDawadari.KanzDurar,Sham19Y0018147,17450,18194,1356,1,137439132054
12,0845Maqrizi.Muqaffa,Sham19Y0145334,17482,18914,1919,1,197568524825
13,0736IbnDawadari.KanzDurar,Sham19Y0018147,18253,18747,1357,1,197568524828
14,0733Nuwayri.NihayatArab,Shamela0010283,18253,18747,6373,1,197568524828
15,0845Maqrizi.MusawwadatMawaciz,Kraken22030819564101,18550,19305,170,1,197568524830
16,0736IbnDawadari.KanzDurar,Sham19Y0018147,18651,19173,1357,1,197568524827
17,0845Maqrizi.Muqaffa,Sham19Y0145334,18957,19346,1920,1,154619000253
18,0845Maqrizi.Mawaciz,Shamela0011566,19427,19792,793,1,206158526837
19,0736IbnDawadari.KanzDurar,Sham19Y0018147,19760,20383,1358,1,292057988346
20,0845Maqrizi.Muqaffa,Sham19Y0145334,20580,21219,1920,1,154619000254
21,0845Maqrizi.Mawaciz,Shamela0011566,20618,20973,793,1,206158526836
22,0845Maqrizi.Muqaffa,Sham19Y0145334,21695,22416,1921,1,42949811982
23,0656IbnAbiHadid.SharhNahjBalagha,Shia002185Vols,23616,24616,37,1,60129835166
24,0845Maqrizi.Muqaffa,Sham19Y0145334,23616,24616,1928,1,60129835166
25,0845Maqrizi.Muqaffa,Sham19Y0145334,23752,24597,1928,1,85899354844
26,0654SibtIbnJawzi.MiratZaman,Sham19Y0023644,24030,24191,6447,1,68719578925
27,0597IbnJawzi.Muntazam,Shamela0012406,24030,24191,3560,1,68719578925
28,0656IbnAbiHadid.SharhNahjBalagha,Shia002185Vols,24030,24191,37,1,68719578925
29,0406SharifRadi.Diwan,Masaha003399Vols,24030,24191,526,1,68719578925
30,0656IbnAbiHadid.SharhNahjBalagha,Shia002185Vols,24662,25907,37,1,8590202963
31,0845Maqrizi.Muqaffa,Sham19Y0145334,24662,25907,1929,1,8590202963
32,0656IbnAbiHadid.SharhNahjBalagha,Shia002185Vols,25571,25846,37,1,8590202966
33,0845Maqrizi.Muqaffa,Sham19Y0145334,25571,25846,1929,1,8590202966
34,0630IbnAthirCizzDin.Kamil,JK000911,25961,26417,2625,1,42949688962
35,0749IbnFadlAllahCumari.MasalikAbsar,Kraken210630005153,25961,26417,8561,1,42949688962
36,0749ZaynDinIbnWardi.Tarikh,Shamela0006624,25961,26417,294,1,42949688962
37,0845Maqrizi.Muqaffa,Sham19Y0145334,25961,26417,1928,1,42949688962
38,0732AbuFida.MukhtasarFiAkhbar,Shamela0012715,25961,26417,374,1,42949688962
39,0597IbnJawzi.Muntazam,Shamela0012406,26442,27512,3560,1,171798943925
40,0630IbnAthirCizzDin.Kamil,JK000911,26442,27512,2625,1,171798943925
41,0630IbnAthirCizzDin.Kamil,JK000911,26890,27091,2625,1,8590202965
42,0845Maqrizi.Muqaffa,Sham19Y0145334,26890,27091,1929,1,8590202965
43,0630IbnAthirCizzDin.Kamil,JK000911,27491,28143,2626,1,25770005293
44,0654SibtIbnJawzi.MiratZaman,Sham19Y0023644,27491,28143,6448,1,25770005293
45,0597IbnJawzi.Muntazam,Shamela0012406,27491,28143,3561,1,25770005293
46,0630IbnAthirCizzDin.Kamil,JK000911,28168,29116,2626,1,137439086978
47,0630IbnAthirCizzDin.Kamil,JK000911,28236,28607,2626,1,8590202964
48,0845Maqrizi.Muqaffa,Sham19Y0145334,28236,28607,1929,1,8590202964
49,0630IbnAthirCizzDin.Kamil,JK000911,29094,29921,2627,1,214748522669
50,0630IbnAthirCizzDin.Kamil,JK000911,29947,31165,2627,1,17179931953
51,0845Maqrizi.Muqaffa,Sham19Y0145334,29947,31165,1924,1,17179931953
52,0749IbnFadlAllahCumari.MasalikAbsar,Kraken210630005153,29947,31165,8562,1,17179931953
53,0630IbnAthirCizzDin.Kamil,JK000911,29968,30934,2627,1,94489357889
54,0630IbnAthirCizzDin.Kamil,JK000911,30046,30430,2627,1,94489357892
55,0733Nuwayri.NihayatArab,Shamela0010283,30046,30430,6371,1,94489357892
56,0845Maqrizi.Muqaffa,Sham19Y0145334,30046,30430,1924,1,94489357892
57,0733Nuwayri.NihayatArab,Shamela0010283,30355,31312,6372,1,94489357891
58,0630IbnAthirCizzDin.Kamil,JK000911,30953,31889,2628,1,94489357890
59,0630IbnAthirCizzDin.Kamil,JK000911,31075,31374,2628,1,94489357893
60,0630IbnAthirCizzDin.Kamil,JK000911,31923,32178,2628,1,171798721415
61,0733Nuwayri.NihayatArab,Shamela0010283,31950,32579,6376,1,103079226464
62,0630IbnAthirCizzDin.Kamil,JK000911,32198,32646,2629,1,111669284580
63,0845Maqrizi.Muqaffa,Sham19Y0145334,32527,33906,1927,1,171798721410
64,0733Nuwayri.NihayatArab,Shamela0010283,32527,33906,6377,1,171798721410
65,0630IbnAthirCizzDin.Kamil,JK000911,32527,33906,2632,1,171798721410
66,0845Maqrizi.Muqaffa,Sham19Y0145334,32783,33599,1927,1,154618885421
67,0630IbnAthirCizzDin.Kamil,JK000911,32783,33599,2632,1,154618885421
68,0630IbnAthirCizzDin.Kamil,JK000911,32890,33866,2632,1,111669264488
69,0733Nuwayri.NihayatArab,Shamela0010283,32890,33866,6377,1,111669264488
70,0845Maqrizi.Muqaffa,Sham19Y0145334,32890,33866,1927,1,111669264488
71,0808MuhammadDamiri.HayatHayawanKubra,Shamela0010664,32890,33866,199,1,111669264488
72,0966HusaynDiyarbakri.TarikhKhamis,Masaha001961Vols,32890,33866,1821,1,111669264488
73,0630IbnAthirCizzDin.Kamil,JK000911,33110,33619,2632,1,154618885422
74,0733Nuwayri.NihayatArab,Shamela0010283,33110,33619,6377,1,154618885422
75,0732AbuFida.MukhtasarFiAkhbar,Shamela0012715,33110,33619,374,1,154618885422
76,0845Maqrizi.Muqaffa,Sham19Y0145334,33932,34385,1930,1,94489478726
77,0630IbnAthirCizzDin.Kamil,JK000911,33932,34385,2632,1,94489478726
78,0630IbnAthirCizzDin.Kamil,JK000911,52364,52782,2633,1,8590275275
79,0808IbnKhaldun.Tarikh,Shamela0012320,52364,52782,1838,1,8590275275
80,0808IbnKhaldun.Tarikh,Shamela0012320,52364,52782,2101,1,8590275275
81,0749IbnFadlAllahCumari.MasalikAbsar,Kraken210630005153,35177,35479,8666,1,146029041744
82,0749ZaynDinIbnWardi.Tarikh,Shamela0006624,35177,35479,380,1,146029041744
83,0732AbuFida.MukhtasarFiAkhbar,Shamela0012715,35177,35479,473,1,146029041744
84,0928MujirDinCulaymi.TarikhMuctabar,Sham19Y0127698,35177,35479,215,1,146029041744
85,0821Qalqashandi.Maathir,MMS00001,35177,35479,265,1,146029041744
86,0845Maqrizi.Muqaffa,Sham19Y0145334,35511,35817,1932,1,51539704983
