,Text,id,ch_start_tar,ch_end_tar,source_book_ms,book_count,cluster
0,0821Qalqashandi.SubhAcsha,Shamela0009429,192120,192516,883,1,8590069812
1,0815Ghuzuli.MatalicBudur,Shamela0005390,192120,192516,330,1,8590069812
2,0671AbuCabdAllahQurtubi.JamicLiAhkamQuran,Tafsir01005,192120,192516,4269,1,8590069812
3,0338AbuJacfarNahhas.MacaniQuran,JK000447,192120,192516,576,1,8590069812
4,0774IbnKathir.TafsirQuran,Shamela0008473,192120,192516,4305,1,8590069812
5,0874IbnTaghribirdi.NujumZahira,JK001330,192120,192516,25,1,8590069812
6,0626YaqutHamawi.MucjamBuldan,Shamela0023735,192120,192516,3165,1,8590069812
7,0437MakkiIbnHammushQaysi.Hidaya,Shamela0022593,192120,192516,865,1,8590069812
8,0437MakkiIbnHammushQaysi.Hidaya,Shamela0022593,192120,192516,1832,1,8590069812
9,0767Balawi.TajMafriq,JK010478,192120,192516,55,1,8590069812
10,0634AbuRabicHimyari.Iktifa,Shamela0009770,192120,192516,1006,1,8590069812
11,0365IbnFaqihHamadhani.Buldan,Shamela0011685,192120,192516,48,1,8590069812
12,0911Suyuti.HusnMuhadara,Shamela0003283,192120,192516,641,1,8590069812
13,0257IbnCabdHakam.FutuhMisr,Shamela0011404,192120,192516,143,1,8590069812
14,0425AbuHasanShayzari.Buldan,Kraken220803163310,192120,192516,51,1,8590069812
15,0930IbnIyas.NuzhatUmam,Masaha004846,192120,192516,51,1,8590069812
16,0911Suyuti.AsrarKawn,JK010248,192120,192516,29,1,8590069812
17,0821Qalqashandi.SubhAcsha,Shamela0009429,192141,193095,883,1,103079608237
18,0885BurhanDinBiqaci.NazmDurar,JK009270,192141,193095,4787,1,103079608237
19,0977KhatibShirbini.SirajMunir,Shamela0001466,192141,193095,3241,1,103079608237
20,0874IbnTaghribirdi.NujumZahira,JK001330,192141,193095,24,1,103079608237
21,0576AbuTahirSilafi.Tuyuriyyat,JK009391,192141,193095,247,1,103079608237
22,0911Suyuti.HusnMuhadara,Shamela0003283,192141,193095,642,1,103079608237
23,0257IbnCabdHakam.FutuhMisr,Shamela0011404,192141,193095,143,1,103079608237
24,0930IbnIyas.NuzhatUmam,Masaha004846,192141,193095,51,1,103079608237
25,0808IbnCimadDinShihabDinAqfahsi.AkhbarNilMisr,Masaha004129,192141,193095,5,1,103079608237
26,0350MuhammadKindi.FadailMisr,Shamela0000405,192141,193095,17,1,103079608237
27,0660IbnCadim.BughyatTalab,Shamela0010798,192829,193076,210,1,25769857745
28,0671AbuCabdAllahQurtubi.JamicLiAhkamQuran,Tafsir01005,192829,193076,4270,1,25769857745
29,0885BurhanDinBiqaci.NazmDurar,JK009270,192829,193076,4787,1,25769857745
30,0977KhatibShirbini.SirajMunir,Shamela0001466,192829,193076,3241,1,25769857745
31,0874IbnTaghribirdi.NujumZahira,JK001330,192829,193076,24,1,25769857745
32,0437MakkiIbnHammushQaysi.Hidaya,Shamela0022593,192829,193076,2427,1,25769857745
33,0699IbnCabdMalikMurjani.BahjatNufus,Masaha003955Vols,192829,193076,343,1,25769857745
34,0911Suyuti.HusnMuhadara,Shamela0003283,192829,193076,641,1,25769857745
35,0257IbnCabdHakam.FutuhMisr,Shamela0011404,192829,193076,143,1,25769857745
36,0458Bayhaqi.BacthWaNushur,Shamela0009292,192829,193076,96,1,25769857745
37,0930IbnIyas.NuzhatUmam,Masaha004846,192829,193076,52,1,25769857745
38,0930IbnIyas.NuzhatUmam,Masaha004846,192881,193921,52,1,146029118509
39,0711IbnManzurIfriqi.LisanCarab,Shamela0001687,193339,193846,8058,1,60129665603
40,0606IbnAthirMajdDin.NihayaFiGharib,JK000124,193339,193846,49,1,60129665603
41,0597IbnJawzi.GharibHadith,JK001467,193339,193846,15,1,60129665603
42,0401AbuCubaydHarawi.Gharibayn,Sham19Y0016782,193339,193846,33,1,60129665603
43,0930IbnIyas.NuzhatUmam,Masaha004846,193339,193846,52,1,60129665603
44,0368IbnQulawayh.KamilZiyarat,Zaydiyya0000196,193339,193846,49,1,60129665603
45,0930IbnIyas.NuzhatUmam,Masaha004846,193948,194651,52,1,8590341995
46,0733Nuwayri.NihayatArab,Shamela0010283,194185,194544,126,1,8590341996
47,0930IbnIyas.NuzhatUmam,Masaha004846,194669,195731,53,1,8590341994
48,0930IbnIyas.NuzhatUmam,Masaha004846,195756,196523,53,1,60129633098
49,0930IbnIyas.NuzhatUmam,Masaha004846,196502,197517,54,1,17180286943
50,0930IbnIyas.NuzhatUmam,Masaha004846,197543,198382,54,1,17180286944
51,0930IbnIyas.NuzhatUmam,Masaha004846,198401,199391,55,1,42949929187
52,0733Nuwayri.NihayatArab,Shamela0010283,198696,199048,2790,1,42949929189
53,0874IbnTaghribirdi.NujumZahira,JK001330,198696,199048,36,1,42949929189
54,0596IbnWasifShah.MukhtasarCajaibDunya,Masaha004092,198696,199048,79,1,42949929189
55,0930IbnIyas.NuzhatUmam,Masaha004846,198696,199048,10,1,42949929189
56,0930IbnIyas.NuzhatUmam,Masaha004846,198696,199048,55,1,42949929189
57,0600PseudoMascudi.AkhbarZaman,Shamela0008620,198696,199048,82,1,42949929189
58,0733Nuwayri.NihayatArab,Shamela0010283,199159,199352,2825,1,42949929190
59,0930IbnIyas.NuzhatUmam,Masaha004846,199417,200214,55,1,111669347360
60,0733Nuwayri.NihayatArab,Shamela0010283,199466,199700,2825,1,42949699386
61,0736IbnDawadari.KanzDurar,Sham19Y0018147,199466,199700,335,1,42949699386
62,0930IbnIyas.NuzhatUmam,Masaha004846,199466,199700,55,1,42949699386
63,0600PseudoMascudi.AkhbarZaman,Shamela0008620,199466,199700,119,1,42949699386
64,0596IbnWasifShah.MukhtasarCajaibDunya,Masaha004092,199727,200548,58,1,111669347359
65,0930IbnIyas.NuzhatUmam,Masaha004846,200234,201266,56,1,111669347358
66,0733Nuwayri.NihayatArab,Shamela0010283,200587,200817,2875,1,111669347363
67,0930IbnIyas.NuzhatUmam,Masaha004846,200587,200817,56,1,111669347363
68,0733Nuwayri.NihayatArab,Shamela0010283,200871,201247,2876,1,68719843097
69,0736IbnDawadari.KanzDurar,Sham19Y0018147,200871,201247,358,1,68719843097
70,0596IbnWasifShah.MukhtasarCajaibDunya,Masaha004092,200871,201247,57,1,68719843097
71,0930IbnIyas.NuzhatUmam,Masaha004846,200871,201247,56,1,68719843097
