,section,st_pos,mid_pos
0,1,0,17436.0
1,2,34872,42581.5
2,3,50291,53709.0
3,4,57127,58742.5
4,5,60358,69906.5
5,6,79455,83212.0
6,7,86969,87625.5
7,8,88282,89109.0
8,9,89936,92314.5
9,10,94693,95049.0
10,11,95405,95888.0
11,12,96371,96616.5
12,13,96862,97122.5
13,14,97383,97708.5
14,15,98034,98466.0
15,16,98898,99397.5
16,17,99897,100279.0
17,18,100661,100874.5
18,19,101088,102161.0
19,20,103234,103509.5
20,21,103785,104204.0
21,22,104623,104853.0
22,23,105083,105347.5
23,24,105612,105990.5
24,25,106369,106821.5
25,26,107274,107673.5
26,27,108073,108322.5
27,28,108572,109148.0
28,29,109724,110208.0
29,30,110692,111391.0
30,31,112090,113078.0
31,32,114066,114536.5
32,33,115007,116208.0
33,34,117409,117973.5
34,35,118538,118838.0
35,36,119138,119289.0
36,37,119440,120698.5
37,38,121957,122245.0
38,39,122533,126040.0
39,40,129547,130178.5
40,41,130810,131195.5
41,42,131581,132100.5
42,43,132620,133102.0
43,44,133584,134130.5
44,45,134677,135622.5
45,46,136568,137146.0
46,47,137724,138318.0
47,48,138912,139658.5
48,49,140405,163959.0
49,50,187513,187633.0
50,51,187753,187784.5
51,52,187816,189089.0
52,53,190362,196213.5
53,54,202065,209370.0
54,55,216675,216971.5
55,56,217268,244458.5
56,57,271649,272701.0
57,58,273753,275405.5
58,59,277058,278212.0
59,60,279366,282129.5
60,61,284893,288192.0
61,62,291491,291713.5
62,63,291936,294552.5
63,64,297169,297519.5
64,65,297870,298336.5
65,66,298803,298939.5
66,67,299076,299133.5
67,68,299191,299989.5
68,69,300788,308889.5
69,70,316991,319968.0
70,71,322945,327568.0
71,72,332191,332548.5
72,73,332906,333105.0
73,74,333304,334310.5
74,75,335317,341996.5
75,76,348676,348839.5
76,77,349003,349455.0
77,78,349907,354241.5
78,79,358576,359525.5
79,80,360475,364224.0
80,81,367973,368460.0
81,82,368947,370374.0
82,83,371801,372352.5
83,84,372904,373435.5
84,85,373967,374561.0
85,86,375155,379221.0
86,87,383287,384735.0
87,88,386183,389220.5
88,89,392258,395955.0
89,90,399652,404038.0
90,91,408424,413008.0
