,Text,id,ch_start_tar,ch_end_tar,source_book_ms,book_count,cluster
0,0845Maqrizi.NizacWaTakhasum,Shia003725,2,399,7,1,309237656629
1,0845Maqrizi.NizacWaTakhasum,Shia003725,377,1741,8,1,163209097598
2,0255Jahiz.FadlHashim,Shamela0010709BK4,1149,1695,10,1,206158759656
3,0845Maqrizi.NizacWaTakhasum,Shia003725,1915,2378,8,1,48849
4,0255Jahiz.FadlHashim,Shamela0010709BK4,1915,2378,10,1,48849
5,0656IbnAbiHadid.SharhNahjBalagha,Shia002185Vols,1950,3403,3236,1,48847
6,0656IbnAbiHadid.SharhNahjBalagha,Shia002185Vols,2263,3647,3236,1,48848
7,0845Maqrizi.NizacWaTakhasum,Shia003725,2263,3647,9,1,48848
8,0255Jahiz.FadlHashim,Shamela0010709BK4,2263,3647,11,1,48848
9,0845Maqrizi.NizacWaTakhasum,Shia003725,3216,3623,9,1,48851
10,0346Mascudi.MurujDhahab,JK010344,3216,3623,674,1,48851
11,0499MurshidYahyaIbnShajari.Amali,Zaydiyya0000342,3216,3623,286,1,48851
12,0157AbuMikhnafAzdi.MaqtalHusayn,Shia003665,3216,3623,271,1,48851
13,0157AbuMikhnafAzdi.MaqtalHusayn,Shia003665,3216,3623,297,1,48851
14,0568MuwaffaqKhwarazmi.MaqtalHusayn,Rafed0003228Vols,3216,3623,385,1,48851
15,0255Jahiz.FadlHashim,Shamela0010709BK4,3216,3623,11,1,48851
16,0645IbnNimaHilli.MuthirAhzan,Masaha002853,3216,3623,68,1,48851
17,0656IbnAbiHadid.SharhNahjBalagha,Shia002185Vols,3666,4097,3237,1,8590244158
18,0845Maqrizi.NizacWaTakhasum,Shia003725,3666,4097,9,1,8590244158
19,0255Jahiz.FadlHashim,Shamela0010709BK4,3666,4097,12,1,8590244158
20,0845Maqrizi.NizacWaTakhasum,Shia003725,4075,5458,10,1,74355
21,0656IbnAbiHadid.SharhNahjBalagha,Shia002185Vols,4282,4462,3238,1,74360
22,0845Maqrizi.NizacWaTakhasum,Shia003725,4282,4462,10,1,74360
23,0255Jahiz.FadlHashim,Shamela0010709BK4,4282,4462,12,1,74360
24,0656IbnAbiHadid.SharhNahjBalagha,Shia002185Vols,4485,4746,3237,1,74358
25,0845Maqrizi.NizacWaTakhasum,Shia003725,4485,4746,10,1,74358
26,0255Jahiz.FadlHashim,Shamela0010709BK4,4485,4746,11,1,74358
27,0656IbnAbiHadid.SharhNahjBalagha,Shia002185Vols,5477,6275,3249,1,111669405980
28,0656IbnAbiHadid.SharhNahjBalagha,Shia002185Vols,5499,5813,3249,1,74356
29,0845Maqrizi.NizacWaTakhasum,Shia003725,5499,5813,10,1,74356
30,0255Jahiz.FadlHashim,Shamela0010709BK4,5499,5813,20,1,74356
31,0845Maqrizi.NizacWaTakhasum,Shia003725,5826,7391,11,1,249108379243
32,0656IbnAbiHadid.SharhNahjBalagha,Shia002185Vols,5870,6295,3249,1,278847
33,0845Maqrizi.NizacWaTakhasum,Shia003725,5870,6295,11,1,278847
34,0255Jahiz.FadlHashim,Shamela0010709BK4,5870,6295,21,1,278847
35,0656IbnAbiHadid.SharhNahjBalagha,Shia002185Vols,5961,6161,3249,1,278849
36,0562IbnHamdun.TadhkiraHamduniyya,Shamela0010646,5961,6161,1633,1,278849
37,0845Maqrizi.NizacWaTakhasum,Shia003725,5961,6161,11,1,278849
38,0421AbuSacdAbi.NathrDurr,Shamela0007853,5961,6161,386,1,278849
39,0850ShihabDinIbshihi.Mustatraf,JK001336,5961,6161,115,1,278849
40,0363QadiNucman.ManaqibWaMathalib,EShia0086596,5961,6161,236,1,278849
