Cluster,Ms_count,Book_count,diff
5,911464,4960,906504
60129579674,9,9,0
8590220035,48,41,7
381572,36,17,19
103079426156,13,11,2
17179899925,14,14,0
8590099362,43,39,4
389553,45,35,10
8590252767,16,16,0
8590055101,38,27,11
8589990361,33,26,7
8590339623,13,13,0
17179920341,8,8,0
17179904110,12,12,0
68719476992,8,8,0
8416,11,9,2
25770155526,8,8,0
63130,46,39,7
219592,15,13,2
34359744467,24,22,2
34359875384,8,8,0
34312,14,10,4
34307,19,13,6
68719725757,11,11,0
17180171439,8,8,0
126763,10,10,0
8590051474,15,14,1
17180174018,15,10,5
94489381515,8,8,0
103079571132,9,8,1
103079571141,9,9,0
17180211584,28,19,9
17180133586,32,26,6
217583,8,7,1
25769920340,9,8,1
217586,38,19,19
34360151075,15,11,4
25769835132,12,11,1
17180197567,10,10,0
8590006522,22,18,4
8590099789,41,30,11
94489677603,8,8,0
17179939269,14,12,2
42949872741,8,7,1
34359872737,12,12,0
362027,28,27,1
42949874254,11,10,1
25769919704,9,9,0
8589947964,19,19,0
8589947956,29,27,2
17180184246,15,15,0
85899562160,11,11,0
51539747740,10,9,1
14549,77,51,26
17180116447,11,8,3
17180246256,9,8,1
108380,16,12,4
25769983797,14,11,3
42950100954,10,10,0
8590055313,13,12,1
8590014072,19,12,7
126818,9,6,3
367746,10,5,5
8589959124,83,53,30
60129634962,10,9,1
257735,14,14,0
8589961275,42,24,18
8590363644,15,8,7
17179993662,9,8,1
17179993667,9,9,0
25770144570,9,9,0
25770247774,13,13,0
17180188216,8,8,0
17180188224,9,6,3
17180188220,17,16,1
75732,24,20,4
25770027628,8,8,0
25770027627,12,9,3
42949708959,21,13,8
8590080168,11,11,0
34359855551,13,13,0
115568,34,25,9
51539778054,10,10,0
17179906904,30,21,9
103079611340,14,12,2
201109,16,9,7
358041,14,14,0
51539858421,12,11,1
419854,45,40,5
17179936055,25,25,0
8589969786,22,21,1
8589969782,17,17,0
8590112227,13,9,4
25770163703,10,10,0
371298,28,17,11
272933,13,10,3
205619,70,30,40
106207,26,20,6
106203,14,11,3
8589987883,25,13,12
77309568982,8,8,0
34359779489,10,8,2
51539614482,17,16,1
50550,256,118,138
121489,22,20,2
52520,8,7,1
51539626935,18,13,5
120259177104,8,8,0
320062,10,10,0
320070,28,18,10
173590,8,8,0
60129551325,8,8,0
51539834836,14,14,0
120259154650,8,8,0
34360015793,8,7,1
17180075778,10,8,2
47446,57,36,21
25769942598,12,11,1
312178,26,19,7
212819,20,17,3
126024,120,77,43
42949803215,15,13,2
8590228319,22,19,3
226754,24,23,1
42949981560,23,21,2
25769847074,22,21,1
20978,9,7,2
17179958944,16,12,4
17180043493,37,36,1
34359765118,17,15,2
8590275059,16,14,2
389473,8,7,1
409781,74,43,31
128394,13,10,3
72054,27,17,10
393232,8,7,1
