Cluster,Ms_count,Book_count,diff
5,911464,4960,906504
77309747337,5,4,1
103079271292,6,4,2
8590359340,6,5,1
8590220035,48,41,7
25770179904,4,3,1
381572,36,17,19
103079426156,13,11,2
111669200349,4,2,2
8590099362,43,39,4
389553,45,35,10
8590055101,38,27,11
8589990361,33,26,7
68719780744,3,2,1
68719888732,3,2,1
8416,11,9,2
51539683144,5,4,1
63130,46,39,7
219592,15,13,2
34359744467,24,22,2
34312,14,10,4
34307,19,13,6
17180046963,4,2,2
17180046961,4,3,1
17180046964,5,2,3
17180046962,3,2,1
18436,6,5,1
8590051474,15,14,1
17180174018,15,10,5
103079571132,9,8,1
17180211584,28,19,9
17180133586,32,26,6
217583,8,7,1
8590372155,5,4,1
25769920340,9,8,1
217586,38,19,19
34360151075,15,11,4
25769835132,12,11,1
8590006522,22,18,4
180388766808,4,3,1
8590099789,41,30,11
17179939269,14,12,2
42949872741,8,7,1
362027,28,27,1
42949874254,11,10,1
8589947956,29,27,2
51539747740,10,9,1
14549,77,51,26
17180091742,5,4,1
17180116447,11,8,3
17180183988,4,3,1
17180246256,9,8,1
108380,16,12,4
25769983797,14,11,3
51539913543,4,3,1
51539913546,6,5,1
8590055313,13,12,1
8590014072,19,12,7
126818,9,6,3
367746,10,5,5
8589959124,83,53,30
60129634962,10,9,1
34359916952,5,3,2
8589961275,42,24,18
17179993664,3,2,1
17179993669,5,4,1
8590363644,15,8,7
17179993662,9,8,1
17180188224,9,6,3
17180188220,17,16,1
75732,24,20,4
25770027627,12,9,3
42949708959,21,13,8
115568,34,25,9
17179906904,30,21,9
103079611340,14,12,2
201109,16,9,7
51539858421,12,11,1
419854,45,40,5
8589969786,22,21,1
214748508192,5,4,1
8590112227,13,9,4
371298,28,17,11
272933,13,10,3
205619,70,30,40
106207,26,20,6
106203,14,11,3
8589987883,25,13,12
34359779489,10,8,2
8590283242,7,6,1
122072,3,2,1
51539614482,17,16,1
50550,256,118,138
121489,22,20,2
52520,8,7,1
366673,5,4,1
51539626935,18,13,5
320070,28,18,10
34359999046,6,4,2
34360015793,8,7,1
17180075778,10,8,2
8590076062,6,5,1
137439073991,4,3,1
214748416538,4,2,2
249108143830,3,2,1
188978608820,4,2,2
188978614181,3,2,1
47446,57,36,21
25769942598,12,11,1
312178,26,19,7
212819,20,17,3
126024,120,77,43
42949803215,15,13,2
8590228319,22,19,3
226754,24,23,1
42949981560,23,21,2
25769847074,22,21,1
20978,9,7,2
266907,7,4,3
17179958944,16,12,4
17180043493,37,36,1
34359765118,17,15,2
8590275059,16,14,2
389473,8,7,1
409781,74,43,31
60129851053,6,5,1
128394,13,10,3
72054,27,17,10
51539664237,4,3,1
120007,6,5,1
393232,8,7,1
64846,14,12,2
17179973493,38,17,21
168268,67,58,9
77309836267,15,14,1
68719696254,16,15,1
81027,40,32,8
253887,10,8,2
8589971166,9,8,1
8590354996,17,3,14
8590259915,20,17,3
338679,88,30,58
8590226259,21,16,5
60129733037,23,14,9
190458,39,26,13
21935,927,208,719
60129722253,11,10,1
8590245504,6,5,1
206410,28,18,10
128849066743,6,5,1
128849066741,5,4,1
128849066742,4,3,1
8590208633,47,40,7
177260,31,20,11
8590179297,7,6,1
11424,12,11,1
34360133387,3,2,1
11414,80,51,29
