Cluster,Ms_count,Book_count
103079236987,4,4
17179920341,8,8
17179904110,12,12
68719476991,4,4
68719476995,3,3
68719476990,4,4
68719476992,8,8
8590246693,6,6
94489564521,2,2
34360054227,3,3
34360054222,2,2
103079215341,2,2
8416,11,9
103079215339,2,2
68719691458,2,2
171799065465,2,2
51539683144,5,4
137439372890,4,4
188978633184,2,2
188978633195,2,2
188978633185,3,3
25770155526,8,8
63130,46,39
219592,15,13
34359744467,24,22
103079376491,3,3
34359875384,8,8
103079321107,3,3
103079321106,2,2
103079321105,2,2
103079321108,2,2
103079519656,5,5
231928572826,2,2
94489489473,4,4
51539988948,2,2
103079429617,3,3
51539957080,3,3
146029004470,4,4
154618911462,2,2
146029274894,2,2
231928374058,2,2
34312,14,10
34307,19,13
171799026711,2,2
42949916820,3,3
60129767122,3,3
17179974082,2,2
274878014788,2,2
85899520625,3,3
188978771017,2,2
68719725757,11,11
17180046971,3,3
17180046963,4,2
17180046970,2,2
17180046961,4,3
17180046964,5,2
17180046972,3,3
17180046965,2,2
17180046968,2,2
17180046966,2,2
17180046967,2,2
17180046962,3,2
17180046969,2,2
25770144053,2,2
54081,7,7
25770144049,2,2
25770144054,3,3
25770144050,4,4
25770144048,2,2
240518483824,2,2
25769820907,2,2
214748532450,2,2
137439059201,2,2
42950011566,2,2
42950011570,2,2
42950011567,2,2
42950011569,6,6
42950011572,3,3
42950011568,3,3
42950011571,4,4
17179956806,5,5
34360040631,3,3
34360040635,2,2
34360040630,4,4
34360040633,2,2
34360040638,2,2
34359755813,2,2
34359755802,2,2
8589990055,4,4
34359755799,5,5
34359755812,3,3
34359755797,3,3
34359755804,2,2
137439042003,2,2
137439042002,2,2
17180117829,2,2
17180117830,2,2
18436,6,5
154619130172,2,2
34359829238,4,4
68719713978,2,2
8589940651,4,4
17180171439,8,8
17180171441,3,3
77309570486,3,3
85899488875,2,2
34360090802,2,2
51539877360,2,2
171798763667,2,2
171798763666,2,2
94489315735,4,4
94489315734,3,3
126763,10,10
111669203949,2,2
94489548359,2,2
8590051474,15,14
25769967959,3,3
20357,2,2
68719511827,3,3
8590181494,5,5
34359940847,2,2
326417916142,2,2
17180174018,15,10
42950100599,2,2
42950100601,2,2
42950100605,2,2
154618963712,4,4
94489467358,2,2
94489381515,8,8
154618963710,3,3
34359952104,5,5
94489381512,2,2
77309819024,3,3
77309819026,4,4
77309819029,2,2
51539690689,3,3
77309819025,4,4
77309819028,7,7
77309819031,2,2
77309681341,2,2
103079571132,9,8
103079571141,9,9
17180211584,28,19
103079571138,2,2
17180133586,32,26
25769850594,6,6
217583,8,7
25769920337,3,3
51539637758,7,7
8590372155,5,4
25769920340,9,8
154619145249,2,2
217586,38,19
34360151075,15,11
51539789129,3,3
51539789133,2,2
51539789131,6,6
51539789132,5,5
51539789130,3,3
17180199564,6,6
25769835132,12,11
68719522048,3,3
180388679922,2,2
17180197567,10,10
60129873912,2,2
68719544219,2,2
8590006522,22,18
85899485045,3,3
137439057376,3,3
180388766808,4,3
111669416690,2,2
17180119310,3,3
60129795677,5,5
34359809195,2,2
34359809193,3,3
34359809194,4,4
34359809191,2,2
34359809192,2,2
8590099789,41,30
257698359336,2,2
94489677603,8,8
94489591601,3,3
128849406476,4,4
186236,3,3
25769857984,4,4
197568712082,3,3
197568712078,2,2
111669380100,2,2
60129873516,4,4
60129873518,4,4
51539877600,4,4
51539877593,2,2
51539877594,3,3
51539877597,4,4
51539877598,2,2
51539877596,3,3
51539877599,2,2
51539877595,2,2
17179939269,14,12
77309603583,2,2
223338600429,2,2
188978814676,2,2
223338600425,2,2
223338600428,2,2
223338600430,2,2
68719719358,5,5
42949872741,8,7
42949839751,3,3
154619233077,3,3
103079369745,4,4
34360128056,2,2
17180279078,2,2
34359872737,12,12
25770082049,3,3
362027,28,27
77309587176,2,2
17179915936,5,5
137439353711,2,2
231928573049,2,2
180388668283,2,2
94489480498,7,7
231928573041,3,3
231928573050,2,2
68719579889,2,2
94489679591,2,2
111669448974,2,2
257698412614,2,2
408524,6,6
25769854828,2,2
231928394124,2,2
231928394125,2,2
111669541313,2,2
111669541323,5,5
42949874254,11,10
25769919704,9,9
60129628660,2,2
60129628659,2,2
34359783382,5,5
60129628658,2,2
146029203702,2,2
68719800020,2,2
17180184248,3,3
188978951467,4,4
146029254774,2,2
94489541630,2,2
8589947964,19,19
8589947956,29,27
17180184246,15,15
68719702997,2,2
85899562160,11,11
60129796429,6,6
111669443179,3,3
214748383584,2,2
214748383580,2,2
171798904615,2,2
51539747740,10,9
14549,77,51
77309623319,2,2
77309623320,2,2
77309623321,2,2
77309623317,2,2
115661,2,2
85899417099,3,3
8589972960,3,3
8589972964,3,3
118248,3,3
85899664389,2,2
68719584007,2,2
77309535035,3,3
94489660058,3,3
17180091742,5,4
51539627123,4,4
17180116447,11,8
60129659560,6,6
42950074237,2,2
171798718929,2,2
236563,2,2
51539984552,2,2
51539984551,2,2
51539984550,2,2
8590256364,2,2
17180183988,4,3
292057878068,2,2
17180246256,9,8
60129925504,2,2
231928502589,2,2
292058081634,2,2
171799107802,2,2
85899452628,2,2
85899366220,2,2
137439024440,2,2
8590135477,2,2
128849394216,3,3
137439024437,2,2
94489561293,3,3
128849394215,2,2
108380,16,12
25769983797,14,11
198751,3,3
25769983799,2,2
198752,6,6
68719633879,2,2
137439087149,3,3
51540018346,4,4
77309738227,4,4
223338530806,2,2
180388846629,4,4
42949867479,2,2
197568543932,2,2
240518477496,2,2
51539913542,2,2
51539913545,3,3
51539913543,4,3
51539913546,6,5
51539913548,3,3
51539913544,2,2
51539913541,2,2
51539913547,3,3
406136,2,2
42950100954,10,10
8590055313,13,12
42949780913,2,2
42949780912,2,2
42949780911,3,3
25770027931,2,2
274878117225,2,2
188978969507,2,2
77309517866,5,5
188978969506,3,3
146029260259,2,2
60129701777,2,2
171798887791,3,3
266288196520,2,2
197568651303,2,2
85899364388,2,2
8590014072,19,12
126818,9,6
367746,10,5
85899364391,3,3
34359934689,2,2
51539905156,2,2
146029169702,2,2
154619134155,5,5
137439032618,2,2
163208850604,2,2
8589959124,83,53
154618951097,3,3
223338636217,2,2
25770224591,3,3
14398,7,7
8590305253,7,7
180388778448,2,2
223338634046,2,2
171798834349,3,3
60129634965,5,5
94489642794,4,4
8590274857,3,3
60129634962,10,9
51539912043,5,5
60129680170,3,3
60129680172,2,2
399724,2,2
60129680171,2,2
17180189649,3,3
51539626494,3,3
17180189650,4,4
17180189652,5,5
17180189653,4,4
135932,5,5
34359916952,5,3
257735,14,14
17180191478,5,5
25769945661,2,2
34360044243,7,7
51539741342,2,2
197568774374,2,2
146029151574,2,2
8590364852,4,4
128849378888,2,2
128849176749,2,2
8589961275,42,24
223338442518,2,2
94489672184,3,3
120259410706,2,2
223338442522,4,4
17179993670,2,2
17179993664,3,2
17179993669,5,4
17179993668,2,2
8590363644,15,8
17179993662,9,8
17179993665,3,3
17179993667,9,9
25770144564,3,3
25770144566,5,5
25770144572,3,3
25770144563,2,2
25770144561,2,2
25770144570,9,9
25770144562,2,2
25770144565,2,2
51540002717,2,2
223338505707,2,2
206158623326,2,2
60129572672,4,4
60129869132,3,3
60129869129,2,2
60129869131,3,3
68719477790,2,2
25770247774,13,13
17180188217,3,3
17180188221,2,2
17180188212,2,2
17180188216,8,8
17180188226,2,2
17180188218,3,3
17180188224,9,6
17180188222,4,4
17180188215,2,2
17180188214,4,4
17180188225,3,3
17180188220,17,16
17180188213,6,6
231928234842,2,2
154619109810,2,2
25770048975,3,3
137439375195,2,2
154619109811,3,3
60129917600,5,5
111669501885,2,2
240518421582,2,2
43595,3,3
257698466408,2,2
68719597619,4,4
17180275212,2,2
77309729916,2,2
77309772372,4,4
25769951573,2,2
60129830556,4,4
197568651007,2,2
188978827234,2,2
188978827235,2,2
75732,24,20
25770027628,8,8
51539957991,4,4
218030,2,2
206158608938,2,2
25770027627,12,9
68719572598,4,4
206158622724,2,2
60129969610,3,3
231928505430,2,2
111669476242,2,2
231928505431,3,3
42949708959,21,13
42949708963,2,2
42949708958,3,3
42949708962,2,2
42949708961,2,2
8590080168,11,11
42950057707,4,4
94489584115,2,2
94489584113,2,2
85899582469,6,6
34359855551,13,13
42950101253,2,2
17180162929,2,2
8590363065,6,6
42950101254,2,2
42950101250,2,2
8589935715,3,3
8589935714,2,2
8589935713,3,3
51539681713,2,2
51539681712,2,2
51539681710,3,3
25770017755,2,2
25770017757,3,3
215535,3,3
42949953023,2,2
215532,4,4
17180045718,5,5
115568,34,25
34360076203,2,2
25770093111,5,5
25770093106,3,3
34360076201,2,2
34360076200,4,4
154619055013,2,2
154619055014,2,2
154619055012,2,2
51539778054,10,10
137439037998,2,2
17179906904,30,21
103079611340,14,12
118406,3,3
51539778058,6,6
154619055020,2,2
34359809870,2,2
25770234100,2,2
34359809869,2,2
34359809871,2,2
128849062624,4,4
51539877627,2,2
231928632907,5,5
201109,16,9
94489359589,2,2
17179985899,4,4
51539760085,4,4
146028997641,2,2
128849426875,2,2
77309710809,3,3
34360029352,5,5
51539627917,2,2
94489595926,7,7
163208959008,3,3
358041,14,14
412970,7,7
128849144358,3,3
266288286301,2,2
51539942637,2,2
171798827353,2,2
51539858426,5,5
51539858421,12,11
8590174268,2,2
197568909073,2,2
68719855649,3,3
8589969781,5,5
419854,45,40
25770042086,7,7
17179936055,25,25
17179927722,7,7
214748454286,2,2
214748454293,2,2
154619185848,3,3
17179936065,4,4
8589969786,22,21
128849367993,2,2
180389012232,2,2
8589969782,17,17
60129910972,2,2
214748454290,2,2
60129862069,3,3
214748508192,5,4
34359827188,3,3
34359827189,2,2
34359827187,2,2
8590131691,3,3
8590131690,3,3
8590131065,5,5
8590131692,3,3
17180017934,7,7
180388639489,3,3
8590112227,13,9
171798998186,2,2
77309492236,5,5
231928333382,3,3
25770194616,2,2
42949867314,5,5
25770194621,5,5
25770163703,10,10
257698071443,2,2
266288081356,2,2
25770205122,6,6
25770194618,7,7
85899583836,3,3
42949677369,2,2
257698071446,3,3
371298,28,17
272933,13,10
120259295741,6,6
8590314665,6,6
205619,70,30
106207,26,20
106203,14,11
8589987883,25,13
68719549242,2,2
68719549230,3,3
42950089013,3,3
68719549241,4,4
25769892185,2,2
77309568982,8,8
154618838587,2,2
34359779489,10,8
8590283242,7,6
249108177345,2,2
103079401810,2,2
51539777845,2,2
34360092742,5,5
8590208176,2,2
51539777852,4,4
68719782731,2,2
146029234428,2,2
94489371396,2,2
163208952402,2,2
153998,7,7
85899364793,2,2
85899364794,2,2
85899364795,2,2
85899364791,2,2
122072,3,2
85899364792,2,2
42949744740,7,7
42949987646,4,4
51539614482,17,16
85899647219,3,3
60129721187,3,3
68719726932,2,2
50550,256,118
121489,22,20
51539931373,2,2
52520,8,7
51539931375,3,3
34360142725,7,7
154618856102,3,3
94489585300,2,2
94489585303,3,3
77309471079,3,3
68719681034,3,3
24433,6,6
77309471074,2,2
180388877333,2,2
25769871484,5,5
25769871481,2,2
366673,5,4
51539626935,18,13
34359879158,2,2
25770013524,7,7
120259177104,8,8
146029193634,2,2
120259177103,2,2
128849195899,4,4
146029193638,3,3
146029193637,2,2
249108246048,2,2
85899358629,2,2
8590230761,5,5
120259280486,2,2
320062,10,10
8590065728,2,2
17179920913,5,5
320070,28,18
94489301504,2,2
173590,8,8
77309546475,2,2
389214,3,3
42456,3,3
34359979626,4,4
171798695668,6,6
60129551325,8,8
17180290821,2,2
188978818080,4,4
188978813133,3,3
206158584745,2,2
223338528347,2,2
171799066640,2,2
197568925263,3,3
240518301369,2,2
77309837551,2,2
60129612754,4,4
111669541876,2,2
8590346997,3,3
137438990222,2,2
51539834836,14,14
51539784697,2,2
231928599212,2,2
120259239036,4,4
146029331627,2,2
120259154656,3,3
17179982847,4,4
344149,3,3
25770171217,4,4
25770171210,4,4
120259154646,4,4
85899618161,3,3
120259154650,8,8
51539769740,6,6
120259154653,2,2
94489611866,2,2
188978738727,2,2
206158483227,2,2
402915,6,6
120259435539,2,2
274878164655,2,2
206158483229,4,4
103079620205,2,2
34359998362,3,3
103079620204,6,6
42949948936,4,4
137439149235,3,3
194965,3,3
25769976498,6,6
111669176273,2,2
128849437466,6,6
42950001439,6,6
231928433570,3,3
60129821636,2,2
34359999046,6,4
17179927730,5,5
37618,2,2
37617,2,2
240518365667,2,2
34360015793,8,7
77309535687,2,2
17180075778,10,8
8590076062,6,5
77309535689,2,2
17180202675,4,4
8590076064,3,3
8590076061,2,2
171798852941,2,2
330283,4,4
137439164741,4,4
68719551327,2,2
94489499079,2,2
111669453547,4,4
8590123930,6,6
137439073991,4,3
8590123929,2,2
8590123933,7,7
120259407165,4,4
25770136430,4,4
120259407167,2,2
17180087673,6,6
214748416538,4,2
188978608821,2,2
249108143830,3,2
188978608820,4,2
188978614181,3,2
77309837411,2,2
154619148608,2,2
52505,2,2
223338514002,2,2
17180169802,3,3
225665,2,2
47446,57,36
25769942598,12,11
42949745470,4,4
42949745471,2,2
25769942602,2,2
25770178263,3,3
85899533748,2,2
137439343998,2,2
34359898962,2,2
42949799955,2,2
42949799956,2,2
85899354767,5,5
137438969910,5,5
17180143781,4,4
51539696090,3,3
171798989865,4,4
51539696093,2,2
312178,26,19
212819,20,17
120259182824,4,4
8590128953,3,3
120259182829,4,4
68719549646,5,5
68719549645,2,2
68719549647,2,2
77309448475,2,2
126024,120,77
8590357246,2,2
42949803215,15,13
68719646060,3,3
154619130495,3,3
171798698314,2,2
240518400779,2,2
85899700908,2,2
128849304426,2,2
68719848305,4,4
34360151888,3,3
128849304430,2,2
85899700911,3,3
29405,2,2
68719646843,3,3
103079376141,2,2
8590228319,22,19
128849154944,2,2
317827697402,2,2
42949981557,5,5
17180084742,6,6
137439009931,3,3
226754,24,23
25770060613,3,3
42949981560,23,21
25769847074,22,21
20978,9,7
33742,4,4
266907,7,4
266906,2,2
266905,2,2
266904,2,2
17179958942,2,2
17179958943,6,6
17179958944,16,12
8589986295,5,5
8589991007,2,2
8589991006,5,5
8589991005,2,2
128849193055,3,3
94489369438,2,2
8590074145,7,7
34359913799,6,6
128849251378,2,2
17180043493,37,36
34359765118,17,15
94489409376,2,2
94489409379,3,3
8590275059,16,14
77309553391,2,2
77309553386,2,2
94489299391,2,2
94489299390,2,2
34360139964,2,2
171798738513,2,2
146029094939,3,3
137439138178,2,2
300647803767,2,2
389473,8,7
389474,2,2
389475,2,2
68719644644,2,2
409781,74,43
34360065495,2,2
60129851053,6,5
128394,13,10
49753,2,2
103079519161,4,4
8589984122,4,4
150209,2,2
137439220507,2,2
17180285784,4,4
137439220504,2,2
137439220505,2,2
137439220501,2,2
94489672785,2,2
137439220506,2,2
25770163609,2,2
25770163610,2,2
72054,27,17
25769854987,2,2
42949903499,2,2
94489659317,2,2
51539664237,4,3
42949991472,2,2
171799047271,2,2
25769842296,3,3
25769842293,2,2
25769842294,4,4
25769842290,4,4
25769842291,5,5
25769842288,2,2
25769842289,3,3
25769842295,7,7
120259262937,2,2
120007,6,5
120259262940,2,2
393232,8,7
25770027297,3,3
188978580727,3,3
146029045331,2,2
64846,14,12
17179973493,38,17
25770128025,5,5
68719766307,8,8
137439238279,2,2
168268,67,58
25770006341,6,6
8590292735,4,4
128849027379,2,2
128849139766,2,2
25770240170,6,6
68719862627,3,3
188978753558,2,2
283467983782,2,2
17179959116,2,2
17179959114,4,4
17179959115,2,2
180388842009,2,2
128849084286,2,2
180388842008,2,2
180388842007,2,2
60129612529,3,3
17180233889,6,6
60129612531,4,4
60129692349,6,6
68719828266,5,5
77309836267,15,14
68719696254,16,15
171798786514,2,2
180388699910,2,2
68719828263,5,5
146029176785,5,5
25769892692,15,15
94489666623,4,4
85899542372,2,2
85899542373,3,3
85899542377,5,5
85899542376,3,3
85899542374,3,3
85899542371,2,2
85899542375,2,2
401314,3,3
401313,2,2
137439114605,2,2
258414,5,5
137439114601,2,2
25770048422,8,8
77309568106,4,4
137439114598,2,2
137439114600,2,2
120259388853,2,2
77309430369,3,3
81027,40,32
34359759552,5,5
77309430368,2,2
60129558935,5,5
25770085137,2,2
34359888490,2,2
180388878817,2,2
336978,8,8
188978952989,2,2
111669424897,2,2
17180297879,4,4
94489579835,2,2
85899401139,2,2
8589971165,2,2
17179979680,5,5
85899401136,5,5
85899401134,3,3
17180059473,12,12
253887,10,8
8589971166,9,8
25770166062,4,4
85899401144,4,4
8590354996,17,3
137439255809,2,2
137439255810,3,3
137439255812,3,3
137439255807,2,2
137439255808,2,2
222175,9,9
163209076533,2,2
25770049199,5,5
163209076534,2,2
34359922145,4,4
146029033437,2,2
8590259915,20,17
77309430390,2,2
77309430391,4,4
25769819393,4,4
77309430394,2,2
25770050271,4,4
231928574360,2,2
338679,88,30
8590226259,21,16
8590226265,6,6
163209041229,2,2
180388664064,2,2
60129733037,23,14
285180,2,2
124889,17,17
42949931886,7,7
180388922734,2,2
60129964070,2,2
266287974445,2,2
190458,39,26
171798787996,2,2
188978811733,2,2
103079289283,2,2
240518241522,2,2
21935,927,208
137439344473,2,2
8590056039,8,8
42950046505,3,3
137439344472,3,3
154619234995,2,2
154619234987,2,2
154619234984,2,2
154619234996,2,2
128849378234,2,2
154619234986,3,3
128849365202,2,2
223338311102,2,2
103079599141,6,6
42949742838,2,2
60129722253,11,10
188978834923,3,3
68719779831,7,7
94489655125,2,2
241497,6,6
8590245504,6,5
206410,28,18
128849161859,2,2
128849161868,2,2
42949729385,2,2
128849424751,2,2
223338638215,2,2
188978789478,2,2
26782,7,7
163209023550,2,2
163209023560,3,3
34359874335,4,4
128849066743,6,5
128849144557,2,2
128849066741,5,4
128849066742,4,3
8590208633,47,40
137439189968,3,3
120259135528,3,3
120259135526,7,7
94489567374,2,2
94489567372,2,2
94489567376,2,2
94489567369,2,2
94489567373,2,2
34360099632,4,4
94489567371,2,2
34359938229,2,2
214748545234,2,2
177260,31,20
8590179297,7,6
42949768030,3,3
154618905575,3,3
128849416161,2,2
34359798592,2,2
257698220808,2,2
197568595941,5,5
42949966832,2,2
34359939710,6,6
11424,12,11
34360133387,3,2
11414,80,51
188978806919,3,3
51539711866,8,8
128849289018,4,4
180388753289,2,2
94489586751,3,3
154619160079,2,2
8590085077,2,2
128849289021,3,3
42949944836,2,2
146029221292,2,2
180388917672,2,2
17179974500,7,7
283467949191,2,2
128849413440,5,5
8589994982,3,3
249108476911,2,2
111669265812,2,2
34359792662,9,9
34359963833,2,2
94489507749,2,2
206158715768,2,2
34359871158,3,3
51539689851,2,2
214748429027,2,2
154619242862,2,2
192668,4,4
51539689854,3,3
85899595537,2,2
25770091698,2,2
25769825005,13,13
85899595539,2,2
85899595540,3,3
85899595543,3,3
51540021954,2,2
8590307417,3,3
51539681046,4,4
51540021943,2,2
147846,171,125
17180305783,4,4
43526,9,9
51540021958,3,3
51540021951,4,4
17180262049,2,2
8590206696,7,7
359354,23,21
51540021952,4,4
85899613475,2,2
60129571929,2,2
85899613471,3,3
85899613470,2,2
68512,4,4
85899613472,2,2
188978746222,2,2
51539855559,5,5
94489634647,4,4
94489570830,4,4
68719539246,2,2
103079297121,4,4
146028960041,3,3
180388757829,2,2
17180005558,2,2
8590281995,2,2
292057958485,2,2
49586,218,112
34359877023,33,17
51539646387,2,2
51539646396,2,2
85899718127,2,2
51539890364,2,2
85899718126,2,2
286485,2,2
25770194424,5,5
120259299899,2,2
25769886040,7,7
161530,64,23
1995,555,183
34359921119,5,5
94489407904,2,2
94489407894,2,2
80788,22,22
94489407902,3,3
25770075879,7,7
34359856864,2,2
34359969338,3,3
51539673419,2,2
80787,19,17
94489407903,2,2
8590006497,5,5
25769878810,2,2
25769878812,5,5
64017,444,144
25769878813,2,2
25769878816,2,2
25769878814,2,2
25769878811,2,2
25769878818,3,3
8590080283,109,46
169236,8,8
214748563061,3,3
103079613822,2,2
60129783673,2,2
128849305077,2,2
128849305078,2,2
34359926818,3,3
128849305079,3,3
223338569430,5,5
283467889690,2,2
34359882911,2,2
34359882913,2,2
283353,30,25
34359882915,2,2
8590104167,2,2
25770041249,2,2
42949746326,2,2
25769931945,3,3
85899778945,2,2
224241,5,5
34359784453,6,5
8590105125,25,17
17180031101,2,2
17180031104,2,2
17180031108,2,2
187425,6,6
25770092921,3,3
25770244316,10,10
274877981344,2,2
25770203834,3,3
51539747589,3,3
188978885439,2,2
60129547562,5,5
257698128405,3,3
172426,15,13
172424,91,73
257698337605,2,2
77309670877,4,4
25770202481,4,4
25770202479,3,3
68719633169,2,2
25770202484,2,2
25770038339,7,7
77309445460,2,2
327460,6,6
60129576732,3,3
25770202487,5,5
214748531231,2,2
25770150932,4,4
42949978715,3,3
85899478919,5,5
274878036244,2,2
68719585601,5,5
322862,25,22
25770057384,5,5
68719585604,11,11
80589,53,26
56137,4,4
56135,2,2
56136,3,3
94489362815,2,2
77309535825,2,2
214748628987,3,3
214748479508,3,3
300647802358,2,2
137439369425,3,3
128849143491,2,2
146028906905,2,2
25769858066,16,14
180388900002,3,3
17179973313,9,6
214748491605,2,2
146029118756,2,2
85899528148,2,2
146028889935,2,2
111669277568,2,2
266288159306,2,2
42949811255,2,2
42949811254,2,2
274878194991,2,2
47236,126,87
163209163932,4,4
25769953339,19,17
405294,37,24
92303,4,4
17179975104,19,15
111669435970,6,6
111669435956,2,2
60129699140,2,2
25770070500,3,3
214748697584,2,2
8590143612,11,9
17180124999,8,8
64777,15,12
68719803476,4,3
77309719024,3,3
260744,16,16
62627,78,50
354636,2,2
60129804839,2,2
249108413647,2,2
8589956094,3,3
85899525350,4,4
85899525348,3,3
85899525355,2,2
63890,38,28
85899525352,2,2
68719769097,2,2
85899525349,2,2
240518407689,2,2
337895,3,3
337894,2,2
337896,2,2
42950092495,7,7
37395,209,93
17180162751,11,11
8590239357,6,6
8590239360,4,4
8590239355,3,3
8590239359,9,9
8590239356,4,4
8590239353,4,4
42949916347,4,4
42949734284,2,2
103079466686,2,2
103079466685,2,2
25770201786,5,5
171798872447,2,2
42949959918,2,2
42949959919,3,3
42949937411,2,2
85899631231,3,2
280657,77,56
8590314774,49,18
85899348431,3,3
85899348430,2,2
85899348428,4,4
85899348429,4,4
42949752196,5,5
283467931511,2,2
42949752200,7,6
85899431786,2,2
163209077172,2,2
163209077173,3,3
163209077177,2,2
85899473542,4,4
163208951121,5,5
163209077178,2,2
51539926450,5,5
146029193223,2,2
68719631243,2,2
85899357365,2,2
94489637930,2,2
68719539097,3,3
249893,6,6
77309626300,3,3
34360099156,6,6
118519,67,53
25769981721,2,2
68719657076,3,3
128849128070,3,3
128849128069,3,3
68719657081,4,4
180388634889,3,3
335007646009,2,2
77309550624,2,2
128849273242,3,3
128849215523,2,2
326417534954,2,2
249108373801,2,2
17179926027,3,3
223338631306,2,2
17179926022,2,2
171798929392,2,2
85899490871,4,4
60129786885,4,3
8589990526,3,2
60129786883,2,2
292057825970,2,2
42949942694,2,2
42949942688,3,3
17180238720,21,16
8590359887,52,41
42949942689,2,2
42950018810,3,3
42950018811,2,2
137439017015,3,2
77309444801,4,4
120259226847,5,5
180388947886,2,2
25770095768,3,3
34359864240,2,2
264365,2,2
25770095766,2,2
34359864241,2,2
68719626957,2,2
25770237284,3,3
25770237282,2,2
25770237285,3,3
111669259116,2,2
111669259117,2,2
111669259113,2,2
77309714387,2,2
77309714382,3,3
8590237424,2,2
223338532481,2,2
8590237426,3,3
8590329518,5,5
396994,2,2
8590210202,2,2
197568535143,2,2
34359945001,2,2
103079618917,3,3
51540012566,2,2
274878075979,2,2
53862,45,42
154619157414,3,3
17179951906,3,3
25769861409,2,2
17180181350,3,3
120259173468,7,7
111669455712,2,2
25770075912,4,4
42949712739,6,6
25769884782,5,5
51539819733,2,2
85899458943,2,2
146029253568,3,3
146029253566,2,2
283468269243,2,2
25769804718,7,6
51540004292,4,4
51540004291,2,2
8590179204,3,3
96392,20,3
8590010056,3,2
8590010054,2,2
8590010055,2,2
68719791447,3,3
70890,20,16
154619020403,2,2
163208809898,2,2
8590254381,8,8
68719845575,4,4
309237788186,2,2
94489312608,2,2
8590209158,40,28
118796,129,75
17179942109,2,2
17180276915,2,2
17180276923,2,2
372804,2,2
17180276922,2,2
17180276914,2,2
17180276917,2,2
17180276921,2,2
42950085241,2,2
42950085240,6,5
17180228021,2,2
85899468418,4,4
120259131136,5,5
42949830189,4,4
17179924932,2,2
17179924931,2,2
8590101752,12,9
8590306269,12,12
94489532727,2,2
94489532734,4,4
94489532729,2,2
42949893443,21,21
56997,12,12
273293,6,6
154618913763,3,3
94489505797,4,4
154618913768,2,2
273290,4,4
273292,3,3
77309489428,3,3
137439004281,2,2
154618913769,2,2
25770088928,13,12
146029157467,3,3
163208779526,2,2
8589969698,7,7
51539638805,4,3
68719488270,7,6
68719488269,5,5
317827814139,2,2
171798765872,2,2
60129966722,2,2
34360116290,3,3
34360116291,2,2
51539701352,2,2
77309531392,5,4
77309785640,3,3
77309785637,2,2
77309785639,2,2
42949937177,2,2
77309785636,2,2
77309689824,6,5
240518455361,2,2
188978830952,3,3
240518455368,2,2
104781,5,5
17180305508,3,3
42949788143,7,7
25770100641,4,4
51539953625,2,2
7135,2967,381
51539665356,3,3
51539628512,2,2
51539628515,3,3
51539628511,2,2
17180267975,7,7
94489337536,2,2
261190,94,19
17180176456,22,14
94489337527,3,3
42950027981,8,8
68719690994,6,6
223338320164,2,2
8590132546,15,14
8590345584,12,12
223338320155,2,2
8590065889,4,4
68719553156,5,4
94489300511,3,3
94489300506,4,4
15892,13,12
94489300510,3,3
25770196966,12,11
25769897348,5,5
25769897349,3,3
146029163589,5,5
171799024804,2,2
146029022205,4,4
25770091053,3,3
339111,3,3
77309851605,5,5
8590041852,5,5
206158493474,3,3
85899490258,5,5
8590239693,2,2
8590239692,2,2
8590239697,2,2
8590239695,8,7
