Cluster,Ms_count,Book_count
146029032183,2,2
5,911464,4960
146029032182,2,2
8590348569,2,2
111669266385,5,5
111669389009,3,3
77309747337,5,4
103079271292,6,4
128849080123,2,2
188978997386,2,2
51539736673,6,6
8590359340,6,5
60129579674,9,9
34359861577,4,4
8590379131,5,5
34359861573,2,2
34359861574,3,3
34359861575,3,3
8590220034,2,2
8590220035,48,41
8589942673,3,3
163208775302,3,3
94489577484,3,3
77309806974,2,2
146029302549,2,2
163208775301,2,2
103079410494,2,2
103079410500,2,2
25770179904,4,3
103079410499,4,4
103079410496,2,2
204000,5,5
381572,36,17
42949781857,2,2
103079426156,13,11
111669428890,4,4
180389047824,3,3
111669428891,2,2
111669200349,4,2
77309578534,3,3
34359826090,2,2
34359826088,3,3
34359826089,2,2
34359826091,3,3
77309676264,2,2
77309676260,3,3
17179899925,14,14
60129628098,2,2
60129628094,4,4
60129628099,4,4
60129628096,3,3
8590099362,43,39
214748738802,2,2
389553,45,35
94489596599,2,2
51539698779,2,2
51539698778,2,2
8590252767,16,16
8590148713,2,2
8590055101,38,27
8590148702,2,2
8590148719,2,2
8590148715,2,2
8589990361,33,26
8590148701,5,5
8590148716,2,2
8590148705,2,2
8590148712,2,2
8590055112,2,2
8590148700,2,2
8590148704,2,2
42949957656,5,5
68719780744,3,2
8589971777,4,4
120259210160,3,3
17180046856,5,5
42949798544,2,2
42949798546,2,2
42949798545,2,2
292057848435,2,2
128849145994,3,3
292057848439,2,2
154619111539,2,2
68719696344,4,4
137439349704,4,4
68719696338,7,7
77309546358,3,3
223338519370,3,3
223338519369,3,3
223338519368,2,2
128849335932,2,2
154618828069,3,3
214748480420,2,2
103079566842,2,2
94489463840,2,2
197568545444,2,2
85899728132,2,2
42950103913,4,4
42950103916,2,2
171798914152,2,2
85899411862,2,2
51539610813,2,2
51539610817,4,4
146029113190,2,2
42949920842,4,4
42949920954,2,2
68719888730,2,2
68719888731,2,2
68719888732,3,2
85899735555,3,3
8590339623,13,13
