,Text,id,ch_start_tar,ch_end_tar,source_book_ms,book_count,cluster
0,0845Maqrizi.Durar,Kraken220413030834,17224,17454,809,1,68719691718
1,0845Maqrizi.DurarCuqud,MMS00011,17224,17454,692,1,68719691718
2,0902Sakhawi.DawLamic,JK003608,17224,17454,1364,1,68719691718
3,0852IbnHajarCasqalani.RafcIsr,Shamela0012724,17224,17454,196,1,68719691718
4,0902Sakhawi.DawLamic,JK003608,18199,18594,449,1,223338514052
5,0845Maqrizi.ImtacAsmac,Masaha001864Vols,19844,20080,4,1,171799009751
6,0845Maqrizi.ImtacAsmac,Masaha001864Vols,21646,22352,5,1,111669478451
7,0845Maqrizi.ImtacAsmac,Masaha001864Vols,22563,23563,5,1,137439043634
8,0902Sakhawi.DawLamic,JK003608,27229,27404,452,1,339707
9,0845Maqrizi.ShudhurCuqud,MMS00014,56584,56777,1,1,180388650939
10,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,56606,57120,106,1,197568808894
11,0845Maqrizi.Mawaciz,Shamela0011566,78931,79113,3,1,137438977492
12,0845Maqrizi.MusawwadatMawaciz,Kraken22030819564101,78931,79113,92,1,137438977492
13,0375AnonymousTranslator.TarikhCalamUrusiyus,Kraken220810162528,115586,115793,203,1,335007528789
14,0767CizzDinIbnJamaca.MukhtasarKabir,Masaha002867,121258,121924,22,1,120259452626
15,0375AnonymousTranslator.TarikhCalamUrusiyus,Kraken220810162528,130120,131010,203,1,34359861260
16,0821Qalqashandi.SubhAcsha,Shamela0009429,136620,137307,971,1,207743
17,0845Maqrizi.Mawaciz,Shamela0011566,149706,149877,228,1,146028985155
18,0845Maqrizi.Muqaffa,Sham19Y0145334,160282,161209,1258,1,34359988825
19,0845Maqrizi.ItticazHunafa,Shamela0000176,160282,161209,330,1,34359988825
20,0845Maqrizi.Muqaffa,Sham19Y0145334,162227,163524,1259,1,214748637459
21,0845Maqrizi.Mawaciz,Shamela0011566,162803,163544,250,1,214748637460
22,0845Maqrizi.Muqaffa,Sham19Y0145334,162803,163544,1259,1,214748637460
23,0845Maqrizi.ItticazHunafa,Shamela0000176,162803,163544,331,1,214748637460
