,Text,id,ch_start_tar,ch_end_tar,source_book_ms,book_count,cluster
0,0711IbnManzurIfriqi.LisanCarab,Shamela0001687,11982,12384,1742,1,85899648550
1,0458IbnSidaMursi.MuhkamWaMuhit,Shamela0009757,11982,12384,1405,1,85899648550
2,0458IbnSidaMursi.Mukhassas,JK000849,11982,12384,1586,1,85899648550
3,0711IbnManzurIfriqi.LisanCarab,Shamela0001687,13803,14104,3581,1,103079218366
4,0458IbnSidaMursi.MuhkamWaMuhit,Shamela0009757,13803,14104,2159,1,103079218366
5,0458IbnSidaMursi.Mukhassas,JK000849,13803,14104,1578,1,103079218366
6,0749IbnFadlAllahCumari.MasalikAbsar,Kraken210630005153,16492,17115,6795,1,41959
7,0646IbnBaytarAndalusi.JamicLiMufradat,ShamAY0034792,16492,17115,919,1,41959
8,0900CabdAllahBadri.NuzhatAnam,Masaha004227,16492,17115,127,1,41959
9,0320Israili.AghdhiyaWaAdwiya,Shia004668,16492,17115,409,1,41959
10,0320Israili.AghdhiyaWaAdwiya,Shia004668,17885,18973,410,1,8590307680
11,0711IbnManzurIfriqi.LisanCarab,Shamela0001687,22911,23460,3688,1,94489300656
12,0458IbnSidaMursi.MuhkamWaMuhit,Shamela0009757,22911,23460,2787,1,94489300656
13,0845Maqrizi.Mawaciz,Shamela0011566,41702,42076,255,1,8590072836
14,0845Maqrizi.Mawaciz,Shamela0011566,41702,42076,275,1,8590072836
15,0930IbnIyas.NuzhatUmam,Masaha004846,41702,42076,119,1,8590072836
16,0930IbnIyas.NuzhatUmam,Masaha004846,41702,42076,130,1,8590072836
17,0845Maqrizi.Mawaciz,Shamela0011566,42575,42805,1456,1,120259149376
18,0845Maqrizi.Mawaciz,Shamela0011566,42825,44336,275,1,240518235548
19,0845Maqrizi.Mawaciz,Shamela0011566,43726,44174,275,1,240518235549
20,0649MuhammadIdrisi.Anwar,Kraken220413202320,43726,44174,21,1,240518235549
21,0845Maqrizi.Mawaciz,Shamela0011566,44563,44789,276,1,197568612012
22,0845Maqrizi.Mawaciz,Shamela0011566,45414,46166,276,1,197568612010
23,0845Maqrizi.Mawaciz,Shamela0011566,46307,47343,276,1,197568612009
24,0845Maqrizi.Mawaciz,Shamela0011566,47140,48080,277,1,17180218663
25,0649MuhammadIdrisi.Anwar,Kraken220413202320,47140,48080,49,1,17180218663
26,0649MuhammadIdrisi.Anwar,Kraken220413202320,47901,48107,50,1,240518239787
27,0845Maqrizi.Mawaciz,Shamela0011566,48132,49178,277,1,17180218661
28,0845Maqrizi.Mawaciz,Shamela0011566,48153,48684,277,1,17180218662
29,0649MuhammadIdrisi.Anwar,Kraken220413202320,48153,48684,50,1,17180218662
30,0845Maqrizi.Mawaciz,Shamela0011566,49148,49982,279,1,128849204857
31,0845Maqrizi.Mawaciz,Shamela0011566,50123,51173,523,1,223338665771
32,0930IbnIyas.NuzhatUmam,Masaha004846,50123,51173,194,1,223338665771
33,0845Maqrizi.Mawaciz,Shamela0011566,51137,51431,524,1,300648026776
34,0275Ustath.FiAcdaHayawan,ALCorpus00003,61208,61686,17,1,352187629109
35,0649MuhammadIdrisi.Anwar,Kraken220413202320,71555,71803,98,1,85899572227
36,0420Musabbihi.AkhbarMisr,Kraken210223142004,76748,77149,21,1,163208979303
37,0340IbnDaya.TafsirKitabThamara,PAL075601135,91249,91463,47,1,111669170737
38,0340IbnDaya.TafsirKitabThamara,PAL075601135,91310,91830,48,1,111669170736
39,0748Dhahabi.TarikhIslam,Shamela0035100,92180,93151,8715,1,197568589517
40,0748Dhahabi.TarikhIslam,Shamela0035100,92246,93103,8715,1,77309500394
41,0803MalikAshrafIsmacilRasuli.CasjadMasbuk,ShamAY0034638,92246,93103,45,1,77309500394
42,0674IbnSaci.JamicMukhtasar,Kraken220602160053,92412,92963,54,1,163208875564
43,0674IbnSaci.JamicMukhtasar,Kraken220602160053,94805,95744,55,1,68719783550
44,0748Dhahabi.TarikhIslam,Shamela0035100,94909,95669,8715,1,68719783551
45,0674IbnSaci.JamicMukhtasar,Kraken220602160053,94909,95669,55,1,68719783551
46,0748Dhahabi.TarikhIslam,Shamela0035100,95869,97108,8716,1,68719806268
47,0674IbnSaci.JamicMukhtasar,Kraken220602160053,96294,96729,56,1,68719806269
48,0748Dhahabi.TarikhIslam,Shamela0035100,98992,99145,8716,1,77309500397
49,0803MalikAshrafIsmacilRasuli.CasjadMasbuk,ShamAY0034638,98992,99145,45,1,77309500397
50,0748Dhahabi.TarikhIslam,Shamela0035100,100273,100779,8716,1,128849359349
51,0748Dhahabi.TarikhIslam,Shamela0035100,101522,102944,8717,1,51539935499
52,0748Dhahabi.TarikhIslam,Shamela0035100,103043,104079,8717,1,51539935500
53,0748Dhahabi.TarikhIslam,Shamela0035100,104799,105118,8717,1,51539935501
54,0748Dhahabi.TarikhIslam,Shamela0035100,105097,106482,8718,1,68719543691
55,0748Dhahabi.TarikhIslam,Shamela0035100,106711,108289,8718,1,146029116315
56,0674IbnSaci.JamicMukhtasar,Kraken220602160053,109151,109969,56,1,223338539307
57,0748Dhahabi.TarikhIslam,Shamela0035100,110304,112094,8719,1,74164
58,0748Dhahabi.TarikhIslam,Shamela0035100,112247,112911,8719,1,128849362105
59,0748Dhahabi.TarikhIslam,Shamela0035100,114676,115037,8720,1,120259122601
60,0748Dhahabi.TarikhIslam,Shamela0035100,116682,117251,8720,1,180388839680
