cluster,id
163209097598,Shamela0010710Sec0
206158759656,Shamela0010710Sec0
48849,Shamela0010710Sec0
48847,Shamela0010710Sec0
48848,Shamela0010710Sec0
48851,Shamela0010710Sec0
48850,Shamela0010710Sec0
8590244158,Shamela0010710Sec0
74355,Shamela0010710Sec0
74360,Shamela0010710Sec0
74358,Shamela0010710Sec0
111669405980,Shamela0010710Sec0
74356,Shamela0010710Sec0
249108379243,Shamela0010710Sec0
278847,Shamela0010710Sec0
278849,Shamela0010710Sec0
77309713506,Shamela0010710Sec0
163208937372,Shamela0010710Sec0
214748639710,Shamela0010710Sec0
94489487473,Shamela0010710Sec0
214748639707,Shamela0010710Sec0
180388876573,Shamela0010710Sec0
68719755779,Shamela0010710Sec0
326417737728,Shamela0010710Sec0
50616,Shamela0010710Sec0
180388956262,Shamela0010710Sec0
51539840232,Shamela0010710Sec0
180388876581,Shamela0010710Sec0
68719530748,Shamela0010710Sec0
68719860397,Shamela0010710Sec0
340680,Shamela0010710Sec0
60129869148,Shamela0010710Sec0
68719530750,Shamela0010710Sec0
68719530756,Shamela0010710Sec0
68719530754,Shamela0010710Sec0
188978765622,Shamela0010710Sec0
34359818489,Shamela0010710Sec0
188978765624,Shamela0010710Sec0
60129799285,Shamela0010710Sec0
60129799283,Shamela0010710Sec0
199148,Shamela0010710Sec0
263814,Shamela0010710Sec0
199148,Shamela0010710Sec0
263815,Shamela0010710Sec0
263813,Shamela0010710Sec0
263811,Shamela0010710Sec0
263816,Shamela0010710Sec0
360777593537,Shamela0010710Sec0
223338408852,Shamela0010710Sec0
41047,Shamela0010710Sec0
386547392075,Shamela0010710Sec0
223338408856,Shamela0010710Sec0
103079331121,Shamela0010710Sec0
103079331135,Shamela0010710Sec0
103079331124,Shamela0010710Sec0
8590267236,Shamela0010710Sec0
103079331131,Shamela0010710Sec0
103079331126,Shamela0010710Sec0
103079331130,Shamela0010710Sec0
8590267236,Shamela0010710Sec0
8590267232,Shamela0010710Sec0
154619150611,Shamela0010710Sec0
8590267235,Shamela0010710Sec0
214748561045,Shamela0010710Sec0
103079230505,Shamela0010710Sec0
103079230506,Shamela0010710Sec0
103079230508,Shamela0010710Sec0
292057956997,Shamela0010710Sec0
146029221655,Shamela0010710Sec0
34360108070,Shamela0010710Sec0
197568529302,Shamela0010710Sec0
85899496286,Shamela0010710Sec0
60129674621,Shamela0010710Sec0
25769937754,Shamela0010710Sec0
60129674631,Shamela0010710Sec0
25769816806,Shamela0010710Sec0
60129674627,Shamela0010710Sec0
17179892677,Shamela0010710Sec0
68719560635,Shamela0010710Sec0
68719560636,Shamela0010710Sec0
8589999631,Shamela0010710Sec0
8589999646,Shamela0010710Sec0
8589999633,Shamela0010710Sec0
8589999632,Shamela0010710Sec0
8589999644,Shamela0010710Sec0
8589999637,Shamela0010710Sec0
180388975521,Shamela0010710Sec0
180388975520,Shamela0010710Sec0
17180098960,Shamela0010710Sec0
34360080372,Shamela0010710Sec0
25770109611,Shamela0010710Sec0
34360080371,Shamela0010710Sec0
60129626680,Shamela0010710Sec0
42949874628,Shamela0010710Sec0
42949874630,Shamela0010710Sec0
77309635866,Shamela0010710Sec0
137439301934,Shamela0010710Sec0
137439301928,Shamela0010710Sec0
17180157486,Shamela0010710Sec0
137439301937,Shamela0010710Sec0
17180157484,Shamela0010710Sec0
