Type,Count,Percentage
Total clusters,3530761,100.0
Clusters above size - 20,11621,0.32913584351928665
Clusters of size - 2,823484,23.32313062254851
Clusters of size - 3,225637,6.390605311432861
Clusters of size - 4,87332,2.47346110371107
Clusters of size - 5,42111,1.192689054852481
Clusters of size - 6,23010,0.6517008656207542
Clusters of size - 7,13854,0.3923799996657944
Clusters of size - 8,9129,0.25855615828995504
Clusters of size - 9,5991,0.16968013411273092
Clusters of size - 10,4330,0.1226364514618803
