,id,date,book
0,ALCorpus00001,428,0428IbnSina.AfcalWaInficalat
1,ALCorpus00003,275,0275Ustath.FiAcdaHayawan
2,ALCorpus00004,428,0428IbnSina.Nafs
3,ALCorpus00005,288,0288ThabitIbnQurra.SanatShamsBiArsad
4,ALCorpus00006,430,0430IbnHaytham.Manazir
5,ALCorpus00007,428,0428IbnSina.KawnWaFasad
6,ALCorpus00008,256,0256IbnIshaqKindi.FiCaql
7,ALCorpus00009,600,0600NurDinBitruji.FiHaya
8,ALCorpus00013,428,0428IbnSina.Ilahiyyat
9,ALCorpus00014,273,0273AbuMacsharBalkhi.MukhtasarMadkhal
10,BibleCorpus001,1313,1313CorneliusVanDyck.CahdQadimWaJadid
11,DARE00016,595,0595IbnRushdHafid.MaqalaFiBudhur
12,DARE00024,595,0595IbnRushdHafid.SharhMaBacdTabica
13,DARE00025,595,0595IbnRushdHafid.TahafudTahafud
14,DARE00027,595,0595IbnRushdHafid.SharhBurhan
15,DARE00107,595,0595IbnRushdHafid.TalkhisQiyas
16,DARE00108,595,0595IbnRushdHafid.TalkhisBurhan
17,DARE00109,595,0595IbnRushdHafid.TalkhisSamaWaCalam
18,DARE00112,595,0595IbnRushdHafid.MaqayisMukhtalata
19,EShia0010461,339,0339AbuNasrFarabi.AraAhlMadina
20,EShia0027411,363,0363QadiNucman.Idah
21,EShia0071536,363,0363QadiNucman.TawilDacaim
22,EShia0086596,363,0363QadiNucman.ManaqibWaMathalib
23,Filaha002,370,0370CaribQurtubi.TartibAnwa
24,Filaha003,1127,1127KhayrDinIbnIlyas.FalahFallah
25,GRAR000010,298,0298IshaqIbnHunayn.MaqalatAfrudisiFiCaql
26,GRAR000012,298,0298IshaqIbnHunayn.AristuFiCibara
27,GRAR000013,328,0328AbuBishrIbnYunus.BurhanLiAristutalis
28,GRAR000014,275,0275ThayadurusIbnBasil.AnulutiqaUla
29,GRAR000020,350,0350Anonymous.AristutalisFiNafs
30,GRAR000021,275,0275Ustath.TibacHayawanLiAristutalis
31,GRAR000026,364,0364YahyaIbnCadi.SufistiqaLiAristutalis
32,GRAR000027,398,0398IbnZurca.SufistiqaLiAristutalis
33,GRAR000028,250,0250CabdMasihNacimi.SufistiqaLiAristutalis
34,GRAR000029,305,0305AbuCuthmanDimashqi.TupiqaLiAristutalis
35,GRAR000031,453,0453CaliIbnRidwan.TacaliqLiTafsirJalinus
36,GRAR000032,595,0595IbnRushdHafid.TalkhisShicrLiAristutalis
37,GRAR000035,428,0428IbnSina.Shifa
38,GRAR000036,421,0421HasanIbnSuwar.TacliqatLiIsaghughiFurfuriyus
39,GRAR000038,259,0259HunaynIbnIshaq.SinacaSaghiraLiJalinus
40,GRAR000041,259,0259HunaynIbnIshaq.JalinusFiUstuqussat
41,GRAR000049,300,0300HubayshIbnHasan.JalinusFiMudawatKasr
42,GRAR000050,200,0200YahyaIbnBitriq.FusulAbuqrat
43,GRAR000051,300,0300HubayshIbnHasan.CahdAbuqrat
44,GRAR000052,259,0259HunaynIbnIshaq.FusulAbuqrat
45,GRAR000053,259,0259HunaynIbnIshaq.TaqdimatMacrifaLiAbuqrat
46,GRAR000054,259,0259HunaynIbnIshaq.RisalaFiMaTurjima
47,GRAR000056,310,0310AbuCabbasNayrizi.SharhUsulLiUqlidis
48,GRAR000061,275,0275AnonTranslator.HayatFithaghuras
49,GRAR000062,305,0305AbuCuthmanDimashqi.MadkhalFurfuriyus
50,GRAR000067,225,0225MuallifMajhul.IdahLiAristutalisFiKhayrMahd
51,GRAR000069,298,0298IshaqIbnHunayn.WasiyyatAristalis
52,GRAR000070,259,0259HunaynIbnIshaq.JalinusFiTadbirAmradHadda
53,GRAR000072,275,0275IstifanIbnBasil.AqwalMinandar
54,GRAR000074,450,0450AnonymousTranslator.ArbacWaCishrunKalimaLiGhrighuriyus
55,GRAR000077,300,0300QustaIbnLuqa.FulutarkhusFiAraTabiciyya
56,GRAR000078,300,0300IshaqRuhawi.AdabTabib
57,GRAR000082,300,0300HubayshIbnHasan.JalinusFiCadat
58,GRAR000083,259,0259HunaynIbnIshaq.JalinusFiMihnatAfdalAtibba
59,GRAR000086,259,0259HunaynIbnIshaq.SharhJalinusLiIfidhimiya
60,GRAR000087,259,0259HunaynIbnIshaq.AbuqratFiAmradBiladiyya
61,GRAR000088,259,0259HunaynIbnIshaq.AhwiyaLiAbuqrat
62,GRAR000090,259,0259HunaynIbnIshaq.AbuqratFiTadbirAmrad
63,GRAR000091,300,0300IbnShahdaKarkhi.AjinnaLiAbuqrat
64,GRAR000093,259,0259HunaynIbnIshaq.AbuqratFiTabicatInsan
65,GRAR000094,300,0300IbnShahdaKarkhi.MinaLiAbuqrat
66,GRAR000095,300,0300HubayshIbnHasan.QatitriyunLiAbuqrat
67,GRAR000096,259,0259HunaynIbnIshaq.AbuqratFiTadbirAsihha
68,GVDB20190213,710,0710IbnRifca.Nafais
69,GVDB20200108,375,0375IkhwanSafa.JamicatJamica
70,GVDB20200120,692,0692IbnCabdZahir.RawdZahir
71,GVDB20200219,750,0750Anonymous.SirajZulma
72,GVDB20200607,717,0717CalaDinIbnCabdZahir.RawdZahir
73,GVDB20200609,732,0732AbuFida.TibrMasbuk
74,GVDB20200615,750,0750Anonymous.TawarikhMulukIslam
75,GVDB20200701,730,0730ShaficIbnCali.FadlMathur
76,GVDB20200720,692,0692IbnCabdZahir.TashrifAyyam
77,GVDB20200821,921,0921JibrailIbnQilaci.MadihaFiJabalLubnan
78,GVDB20201027,725,0725BaybarsMansuri.ZubdatFikra
79,GVDB20210106,725,0725BaybarsMansuri.MukhtarAkhbar
80,GVDB20210524,216,0216IbnQuraybAsmaci.Khayl
81,GVDB20210802,375,0375IkhwanSafa.QawlCalaSirrMakhzun
82,Hindawi95926405Vols,375,0375IkhwanSafa.Rasail
83,JK000001,505,0505Ghazali.IhyaCulumDin
84,JK000002,281,0281IbnAbiDunya.TawaducWaKhumul
85,JK000007,761,0761JamalDinIbnHisham.SharhQatrNada
86,JK000013,281,0281IbnAbiDunya.Shukr
87,JK000014,281,0281IbnAbiDunya.MaradWaKaffarat
88,JK000015,281,0281IbnAbiDunya.MakarimAkhlaq
