,Unnamed: 0,Text,id,ch_start_tar,ch_end_tar,source_book_ms,book_count,cluster
1158,1158,0677IbnMuyassar.AkhbarMisr,Kraken210528115855,648018,648370,11,1,197568803511
1159,1159,0677IbnMuyassar.AkhbarMisr,Kraken210528115855,648238,648404,9,1,180388876108
1160,1160,0845Maqrizi.Mawaciz,Shamela0011566,648878,650249,764,1,17180010656
1161,1161,0874IbnTaghribirdi.NujumZahira,JK001330,648878,650249,936,1,17180010656
1162,1162,0677IbnMuyassar.AkhbarMisr,Kraken210528115855,648878,650249,12,1,17180010656
1163,1163,0845Maqrizi.Mawaciz,Shamela0011566,648943,649525,1097,1,257698117398
1164,1164,0845Maqrizi.Mawaciz,Shamela0011566,648943,649525,1482,1,257698117398
1165,1165,0764Safadi.WafiBiWafayat,JK003609,649253,649555,5286,1,17180128932
1166,1166,0764IbnShakirKutubi.FawatWafayat,Shamela0001003,649253,649555,495,1,17180128932
1167,1167,0845Maqrizi.Mawaciz,Shamela0011566,649253,649555,1097,1,17180128932
1168,1168,0845Maqrizi.Mawaciz,Shamela0011566,649253,649555,1482,1,17180128932
1169,1169,0733Nuwayri.NihayatArab,Shamela0010283,649574,650397,6458,1,17179869210
1170,1170,0874IbnTaghribirdi.NujumZahira,JK001330,649574,650397,936,1,17179869210
1171,1171,0845Maqrizi.Mawaciz,Shamela0011566,649574,650397,1098,1,17179869210
1172,1172,0677IbnMuyassar.AkhbarMisr,Kraken210528115855,649574,650397,12,1,17179869210
1173,1173,0874IbnTaghribirdi.NujumZahira,JK001330,650774,651373,937,1,17180010658
1174,1174,0677IbnMuyassar.AkhbarMisr,Kraken210528115855,650774,651373,12,1,17180010658
1175,1175,0677IbnMuyassar.AkhbarMisr,Kraken210528115855,651626,652269,13,1,154618853012
1176,1176,0677IbnMuyassar.AkhbarMisr,Kraken210528115855,652295,653236,13,1,137439164544
1177,1177,0911Suyuti.HusnMuhadara,Shamela0003283,652565,653620,553,1,137439164549
1178,1178,0852IbnHajarCasqalani.RafcIsr,Shamela0012724,652565,653620,106,1,137439164549
1179,1179,0807IbnFurat.TarikhDuwal,Kraken210719221518,652593,653432,580,1,137439164550
1180,1180,0911Suyuti.HusnMuhadara,Shamela0003283,652615,653452,516,1,51539923372
1181,1181,0845Maqrizi.Muqaffa,Sham19Y0145334,652744,652950,337,1,120259133925
1182,1182,0677IbnMuyassar.AkhbarMisr,Kraken210528115855,653256,654278,14,1,137439164548
1183,1183,0845Maqrizi.Muqaffa,Sham19Y0145334,653376,653546,1299,1,120259415526
1184,1184,0677IbnMuyassar.AkhbarMisr,Kraken210528115855,654304,655440,14,1,326417782213
1185,1185,0677IbnMuyassar.AkhbarMisr,Kraken210528115855,655481,656015,15,1,188978838303
1186,1186,0677IbnMuyassar.AkhbarMisr,Kraken210528115855,656041,657424,15,1,171798711969
1187,1187,0677IbnMuyassar.AkhbarMisr,Kraken210528115855,657877,658752,16,1,197568584936
1188,1188,0845Maqrizi.Mawaciz,Shamela0011566,658099,658970,765,1,34359911274
1189,1189,0654SibtIbnJawzi.MiratZaman,Sham19Y0023644,660080,660660,6844,1,17180127852
1190,1190,0874IbnTaghribirdi.NujumZahira,JK001330,660080,660660,974,1,17180127852
1191,1191,0697IbnWasil.TarikhSalihi,Kraken220308195640,660080,660660,471,1,17180127852
1192,1192,0672MakinIbnCamid.TarikhMuslimin,Kraken22032302241501,660080,660660,214,1,17180127852
1193,1193,0555IbnQalanisi.TarikhDimashq,Shamela0022799,660080,660660,119,1,17180127852
1194,1194,0677IbnMuyassar.AkhbarMisr,Kraken210528115855,660638,661283,16,1,163209126947
1195,1195,0677IbnMuyassar.AkhbarMisr,Kraken210528115855,661565,662793,17,1,111669333158
1196,1196,0460Anonymous.DhakhairTuhaf,Kraken2102231420141,662741,663410,141,1,111669333157
1197,1197,0733Nuwayri.NihayatArab,Shamela0010283,663613,665040,6460,1,171798838403
1198,1198,0845Maqrizi.Muqaffa,Sham19Y0145334,663613,665040,1338,1,171798838403
1199,1199,0677IbnMuyassar.AkhbarMisr,Kraken210528115855,663613,665040,17,1,171798838403
1200,1200,0733Nuwayri.NihayatArab,Shamela0010283,664085,664845,6460,1,249108318262
1201,1201,0677IbnMuyassar.AkhbarMisr,Kraken210528115855,665253,665533,18,1,137438971733
1202,1202,0845Maqrizi.Mawaciz,Shamela0011566,666373,666954,934,1,206158432935
1203,1203,0460Anonymous.DhakhairTuhaf,Kraken2102231420141,666373,666954,142,1,206158432935
1204,1204,0845Maqrizi.Mawaciz,Shamela0011566,666533,667068,934,1,206158432936
1205,1205,0460Anonymous.DhakhairTuhaf,Kraken2102231420141,667094,667577,143,1,56846
1206,1206,0845Maqrizi.Mawaciz,Shamela0011566,667094,667577,934,1,56846
1207,1207,0460Anonymous.DhakhairTuhaf,Kraken2102231420141,667596,667971,143,1,56847
1208,1208,0845Maqrizi.Mawaciz,Shamela0011566,668119,668714,941,1,56845
1209,1209,0845Maqrizi.Mawaciz,Shamela0011566,668911,669460,900,1,34359935032
1210,1210,0845Maqrizi.Mawaciz,Shamela0011566,670739,672096,940,1,180388644029
1211,1211,0845Maqrizi.Mawaciz,Shamela0011566,671708,672467,935,1,60129916058
1212,1212,0460Anonymous.DhakhairTuhaf,Kraken2102231420141,672533,673457,143,1,94489628544
1213,1213,0845Maqrizi.Mawaciz,Shamela0011566,672734,673535,936,1,94489628546
1214,1214,0460Anonymous.DhakhairTuhaf,Kraken2102231420141,672734,673535,143,1,94489628546
1215,1215,0460Anonymous.DhakhairTuhaf,Kraken2102231420141,673435,674042,144,1,352187496876
1216,1216,0845Maqrizi.Mawaciz,Shamela0011566,673786,674290,946,1,231928333731
1217,1217,0845Maqrizi.Mawaciz,Shamela0011566,675843,676286,945,1,8590062429
1218,1218,0845Maqrizi.Mawaciz,Shamela0011566,677526,678111,937,1,17179926689
1219,1219,0845Maqrizi.Mawaciz,Shamela0011566,678281,678610,942,1,34360036842
1220,1220,0460Anonymous.DhakhairTuhaf,Kraken2102231420141,678281,678610,145,1,34360036842
1221,1221,0845Maqrizi.Mawaciz,Shamela0011566,678639,679559,937,1,17179926690
1222,1222,0460Anonymous.DhakhairTuhaf,Kraken2102231420141,678639,679559,145,1,17179926690
1223,1223,0460Anonymous.DhakhairTuhaf,Kraken2102231420141,679124,679765,145,1,42949827960
1224,1224,0845Maqrizi.Mawaciz,Shamela0011566,680296,681669,938,1,42949827959
1225,1225,0460Anonymous.DhakhairTuhaf,Kraken2102231420141,680296,681669,145,1,42949827959
1226,1226,0845Maqrizi.Mawaciz,Shamela0011566,681694,682784,938,1,343597703833
1227,1227,0845Maqrizi.Mawaciz,Shamela0011566,683049,683456,941,1,343597703834
1228,1228,0845Maqrizi.Mawaciz,Shamela0011566,683517,685321,939,1,188978647523
1229,1229,0460Anonymous.DhakhairTuhaf,Kraken2102231420141,683902,684421,146,1,68719651842
1230,1230,0845Maqrizi.Mawaciz,Shamela0011566,684600,685294,1075,1,188978647522
1231,1231,0845Maqrizi.Mawaciz,Shamela0011566,685498,685897,873,1,231928469325
1232,1232,0845Maqrizi.Mawaciz,Shamela0011566,686859,687136,923,1,25770110617
1233,1233,0845Maqrizi.Mawaciz,Shamela0011566,687173,687741,923,1,25770110615
1234,1234,0460Anonymous.DhakhairTuhaf,Kraken2102231420141,687870,688351,147,1,257698205454
1235,1235,0677IbnMuyassar.AkhbarMisr,Kraken210528115855,689330,689877,18,1,25769805376
1236,1236,0626YaqutHamawi.MucjamBuldan,Shamela0023735,690046,690676,2392,1,25769805375
1237,1237,0845Maqrizi.Mawaciz,Shamela0011566,690046,690676,768,1,25769805375
1238,1238,0845Maqrizi.Mawaciz,Shamela0011566,690745,691630,769,1,25770061196
1239,1239,0845Maqrizi.IghathaUmma,Kraken210223142017,691880,692265,79,1,25770061197
1240,1240,0733Nuwayri.NihayatArab,Shamela0010283,692781,692965,993,1,17180088988
1241,1241,0749IbnFadlAllahCumari.MasalikAbsar,Kraken210630005153,692781,692965,7931,1,17180088988
