,Unnamed: 0,Text,id,ch_start_tar,ch_end_tar,source_book_ms,book_count,cluster
1242,1242,0571IbnCasakir.TarikhDimashq,JK000916,692781,692965,16896,1,17180088988
1243,1243,0681IbnKhallikan.WafayatAcyan,Shamela0001000,692781,692965,245,1,17180088988
1244,1244,0711IbnManzurIfriqi.MukhtasarTarikhDimashq,Shamela0003118,692781,692965,4944,1,17180088988
1245,1245,0597IbnJawzi.Muntazam,Shamela0012406,692781,692965,2613,1,17180088988
1246,1246,0630IbnAthirCizzDin.Kamil,JK000911,692781,692965,2298,1,17180088988
1247,1247,0654SibtIbnJawzi.MiratZaman,Sham19Y0023644,692781,692965,4942,1,17180088988
1248,1248,0654SibtIbnJawzi.MiratZaman,Sham19Y0023644,692781,692965,5093,1,17180088988
1249,1249,0310Tabari.Tarikh,Shamela0009783BK1,692781,692965,4284,1,17180088988
1250,1250,0619AbuCabbasSharishi.SharhMaqamatHariri,Sham19Y0000760,692781,692965,452,1,17180088988
1251,1251,0362AbuFarajIsbahani.Aghani,JK000927,692781,692965,1556,1,17180088988
1252,1252,0414AbuHayyanTawhidi.Basair,JK009288,692781,692965,453,1,17180088988
1253,1253,0425RaqiqQayrawani.QutbSurur,JK010672,692781,692965,13,1,17180088988
1254,1254,0584IbnMunqidhShayzari.ManazilWaDiyar,Shamela0005416,692781,692965,5,1,17180088988
1255,1255,0362AbuFarajIsbahani.ImaShawacir,Shamela0009221,692781,692965,28,1,17180088988
1256,1256,0845Maqrizi.IghathaUmma,Kraken210223142017,693076,693767,79,1,77309585570
1257,1257,0733Nuwayri.NihayatArab,Shamela0010283,693786,694154,6463,1,137439324138
1258,1258,0677IbnMuyassar.AkhbarMisr,Kraken210528115855,693786,694154,33,1,137439324138
1259,1259,0677IbnMuyassar.AkhbarMisr,Kraken210528115855,694181,695311,33,1,171799002344
1260,1260,0677IbnMuyassar.AkhbarMisr,Kraken210528115855,696054,696639,18,1,85899535015
1261,1261,0885IbnFahd.IthafWura,Masaha004387Vols,698926,699315,557,1,42949861988
1262,1262,0845Maqrizi.Mawaciz,Shamela0011566,699076,699570,1104,1,60129765660
1263,1263,0733Nuwayri.NihayatArab,Shamela0010283,700055,701098,6461,1,231928430793
1264,1264,0677IbnMuyassar.AkhbarMisr,Kraken210528115855,700055,701098,20,1,231928430793
1265,1265,0733Nuwayri.NihayatArab,Shamela0010283,701502,702227,6462,1,68719571838
1266,1266,0630IbnAthirCizzDin.Kamil,JK000911,701502,702227,3449,1,68719571838
1267,1267,0677IbnMuyassar.AkhbarMisr,Kraken210528115855,701502,702227,20,1,68719571838
1268,1268,0733Nuwayri.NihayatArab,Shamela0010283,701891,702724,6462,1,68719571839
1269,1269,0845Maqrizi.Mawaciz,Shamela0011566,701891,702724,768,1,68719571839
1270,1270,0681IbnKhallikan.WafayatAcyan,Shamela0001000,703631,703984,386,1,373551
1271,1271,0845Maqrizi.Muqaffa,Sham19Y0145334,703631,703984,1337,1,373551
1272,1272,0845Maqrizi.Muqaffa,Sham19Y0145334,703631,703984,1341,1,373551
1273,1273,0660IbnCadim.BughyatTalab,Shamela0010798,703631,703984,2311,1,373551
1274,1274,0660IbnCadim.BughyatTalab,Shamela0010798,703631,703984,3516,1,373551
1275,1275,0874IbnTaghribirdi.NujumZahira,JK001330,703631,703984,761,1,373551
1276,1276,0654IbnShaccarMawsili.Qalaid,Sham19Y0020990,703631,703984,1114,1,373551
1277,1277,0550AbuHajjajAshcari.TacrifFiAnsab,Shamela0000487,703631,703984,47,1,373551
1278,1278,0749ZaynDinIbnWardi.Tarikh,Shamela0006624,703631,703984,74,1,373551
1279,1279,0677IbnMuyassar.AkhbarMisr,Kraken210528115855,704982,706123,21,1,146029050009
1280,1280,0845Maqrizi.Muqaffa,Sham19Y0145334,706755,707296,841,1,220183
1281,1281,0677IbnMuyassar.AkhbarMisr,Kraken210528115855,706755,707296,22,1,220183
1282,1282,0677IbnMuyassar.AkhbarMisr,Kraken210528115855,708327,709375,22,1,220182
1283,1283,0733Nuwayri.NihayatArab,Shamela0010283,708785,709050,6464,1,17180193652
1284,1284,0677IbnMuyassar.AkhbarMisr,Kraken210528115855,709389,710040,23,1,335007677585
1285,1285,0677IbnMuyassar.AkhbarMisr,Kraken210528115855,710190,710832,23,1,335007771148
1286,1286,0571IbnCasakir.TarikhDimashq,JK000916,711473,711762,1431,1,240518254250
