,Text,id,ch_start_tar,ch_end_tar,source_book_ms,book_count,cluster
0,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,2,1892,106,1,180388650936
1,0845Maqrizi.IghathaUmma,Kraken210223142017,418,1287,102,1,180388650937
2,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,418,1287,106,1,180388650937
3,0845Maqrizi.IghathaUmma,Kraken210223142017,692,1349,102,1,313867
4,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,692,1349,106,1,313867
5,0845Maqrizi.IghathaUmma,Kraken210223142017,1246,1460,26,1,180388650939
6,0845Maqrizi.IghathaUmma,Kraken210223142017,1776,1990,104,1,180388650938
7,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,2069,3701,107,1,94363
8,0845Maqrizi.IghathaUmma,Kraken210223142017,2610,2994,105,1,94364
9,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,3724,5496,108,1,163209138956
10,0845Maqrizi.IghathaUmma,Kraken210223142017,3765,4381,106,1,163209138958
11,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,3765,4381,108,1,163209138958
12,0845Maqrizi.IghathaUmma,Kraken210223142017,4562,5522,107,1,68719818698
13,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,4562,5522,108,1,68719818698
14,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,5549,6119,109,1,68719818699
15,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,5607,7366,109,1,317827806443
16,0845Maqrizi.IghathaUmma,Kraken210223142017,6039,7192,109,1,317827806446
17,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,6039,7192,109,1,317827806446
18,0845Maqrizi.IghathaUmma,Kraken210223142017,6563,6902,108,1,42949810633
19,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,6563,6902,109,1,42949810633
20,0845Maqrizi.IghathaUmma,Kraken210223142017,7391,8626,110,1,120259318471
21,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,7391,8626,110,1,120259318471
22,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,7507,9191,110,1,120259318470
23,0845Maqrizi.IghathaUmma,Kraken210223142017,7874,8816,110,1,60129564772
24,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,7874,8816,110,1,60129564772
25,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,9216,9404,110,1,94489587536
26,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,9383,11016,111,1,94489587533
27,0845Maqrizi.IghathaUmma,Kraken210223142017,9846,10997,112,1,94489587534
28,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,9846,10997,111,1,94489587534
29,0845Maqrizi.IghathaUmma,Kraken210223142017,10556,10860,112,1,94489587535
30,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,10556,10860,111,1,94489587535
31,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,11040,11292,111,1,51539950395
32,0845Maqrizi.IghathaUmma,Kraken210223142017,11113,11924,113,1,60129702409
33,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,11113,11924,112,1,60129702409
34,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,11271,12848,112,1,60129702406
35,0845Maqrizi.IghathaUmma,Kraken210223142017,11893,12867,114,1,60129702407
36,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,11893,12867,112,1,60129702407
37,0845Maqrizi.IghathaUmma,Kraken210223142017,12891,14400,116,1,68719583912
38,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,12891,14400,113,1,68719583912
39,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,13161,14693,113,1,137439275125
40,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,14335,14713,113,1,137439275127
41,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,14738,15009,113,1,34359915658
42,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,14988,16531,114,1,34359915653
43,0845Maqrizi.IghathaUmma,Kraken210223142017,15530,15977,119,1,34359915654
44,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,15530,15977,114,1,34359915654
45,0845Maqrizi.IghathaUmma,Kraken210223142017,15948,16377,119,1,34359915655
46,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,15948,16377,114,1,34359915655
47,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,16555,16831,114,1,8590261030
48,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,16811,18376,115,1,8590261025
49,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,16935,17620,115,1,8590261029
50,0845Maqrizi.Mawaciz,Shamela0011566,16959,18122,92,1,8590261026
51,0845Maqrizi.Muqaffa,Sham19Y0145334,16959,18122,299,1,8590261026
52,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,16959,18122,115,1,8590261026
53,0845Maqrizi.Muqaffa,Sham19Y0145334,17332,18104,299,1,8590261027
54,0845Maqrizi.Muqaffa,Sham19Y0145334,17645,18339,299,1,8590261028
55,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,17645,18339,115,1,8590261028
56,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,18399,18728,115,1,231928423586
57,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,18772,20286,116,1,274878171131
58,0845Maqrizi.Muqaffa,Sham19Y0145334,18934,19302,1072,1,8589935131
59,0845Maqrizi.ItticazHunafa,Shamela0000176,18934,19302,66,1,8589935131
60,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,18934,19302,116,1,8589935131
61,0845Maqrizi.Mawaciz,Shamela0011566,19434,19639,1123,1,69047
62,0845Maqrizi.ItticazHunafa,Shamela0000176,19434,19639,83,1,69047
63,0845Maqrizi.MusawwadatMawaciz,Kraken22030819564101,19434,19639,370,1,69047
64,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,19434,19639,116,1,69047
65,0845Maqrizi.ItticazHunafa,Shamela0000176,19718,20108,227,1,94489298294
66,0845Maqrizi.Suluk,Shamela0006667,20311,20876,31,1,266288283581
67,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,20311,20876,116,1,266288283581
68,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,20333,20560,116,1,249108327279
69,0845Maqrizi.Suluk,Shamela0006667,20580,21150,31,1,266288283580
70,0845Maqrizi.Mawaciz,Shamela0011566,20832,21130,1112,1,206158472122
71,0845Maqrizi.Suluk,Shamela0006667,20832,21130,31,1,206158472122
72,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,20832,21130,117,1,206158472122
73,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,20896,22333,117,1,292057897039
74,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,21228,21518,117,1,249108327280
75,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,21562,22306,117,1,60129718740
76,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,22400,23016,117,1,283468057177
77,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,22652,23263,117,1,154619172285
78,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,22994,24290,118,1,283468057175
79,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,23508,23889,118,1,8590323164
80,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,24315,25035,118,1,266288258759
81,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,25013,26084,119,1,128849027216
82,0845Maqrizi.Durar,Kraken220413030834,25474,25980,1422,1,128849027218
83,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,25474,25980,119,1,128849027218
84,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,26124,27356,119,1,128849027215
85,0845Maqrizi.IghathaUmma,Kraken210223142017,26350,26986,101,1,128849027217
86,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,26350,26986,119,1,128849027217
87,0845Maqrizi.Suluk,Shamela0006667,27197,27602,1975,1,47318
88,0845Maqrizi.IghathaUmma,Kraken210223142017,27229,27504,102,1,274878133755
89,0845Maqrizi.IghathaUmma,Kraken210223142017,27376,28067,123,1,163208831613
90,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,27376,28067,120,1,163208831613
91,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,28092,29202,120,1,163208831612
92,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,29180,29817,121,1,326417521895
93,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,29842,30601,121,1,60129930355
94,0845Maqrizi.MusawwadatMawaciz,Kraken22030819564101,31650,32147,38,1,146028921179
95,0845Maqrizi.MusawwadatMawaciz,Kraken22030819564101,32059,32437,38,1,146028921180
96,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,33403,34231,110,1,60129564774
97,0845Maqrizi.AwzanWaAkyal,MMS00009,37232,38070,12,1,125069
