,Text,id,ch_start_tar,ch_end_tar,source_book_ms,book_count,cluster
74,0279Baladhuri.FutuhBuldan,Shamela0012221,61278,61806,382,1,42949810635
75,0845Maqrizi.ShudhurCuqud,MMS00014,61926,62757,7,1,60129702407
76,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,61926,62757,112,1,60129702407
77,0845Maqrizi.ShudhurCuqud,MMS00014,63482,64338,8,1,68719583912
78,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,63482,64338,113,1,68719583912
79,0852SirajDinIbnWardi.KharidatCajaib,Masaha004380,64355,64375,298,1,240518459161
80,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,65431,65895,114,1,68719760374
81,0845Maqrizi.ShudhurCuqud,MMS00014,65912,66286,9,1,34359915654
82,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,65912,66286,114,1,34359915654
83,0845Maqrizi.ShudhurCuqud,MMS00014,66308,66631,9,1,34359915655
84,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,66308,66631,114,1,34359915655
85,0845Maqrizi.ShudhurCuqud,MMS00014,69404,70122,15,1,163208831613
86,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,69404,70122,120,1,163208831613
87,0779IbnBattuta.Rihla,Shamela0011769,72562,72582,601,1,137439058027
88,0749IbnFadlAllahCumari.MasalikAbsar,Kraken210630005153,72831,73223,1993,1,68719843829
89,0845Maqrizi.Durar,Kraken220413030834,75878,76401,1423,1,180388836024
90,0845Maqrizi.Mawaciz,Shamela0011566,82560,82579,202,1,68719631899
